iso,age,sex,educ,n_OECD,weighted_OECD_average,n_country,mean_country,adj_factor
152,20,1,3,6405,277.727866,208,245.71,0.884714968
152,20,1,4,2103,291.7478206,41,250.5,0.858618239
152,20,2,1,192,194.605945,9,148.14,0.761230598
152,20,2,2,1218,237.0561755,37,208.99,0.881605381
152,20,2,3,6076,273.8829346,220,239.08,0.872927699
152,20,2,4,3081,289.8873735,77,252.68,0.871648865
152,25,1,1,298,196.3601544,8,198.93,1.013087409
152,25,1,2,1051,232.0876741,26,188.36,0.811589847
152,25,1,3,3704,267.340451,134,234.48,0.87708388
152,25,1,4,3810,299.750268,99,262.05,0.874227742
152,25,2,1,323,196.5729388,14,177.67,0.903837533
152,25,2,2,1014,229.5671443,46,189.32,0.824682472
152,25,2,3,3260,262.9086568,163,229.87,0.874334085
152,25,2,4,5327,295.1491248,118,255.81,0.866714412
152,30,1,1,381,190.4162025,12,169.95,0.892518587
152,30,1,2,1077,231.7716408,36,187.65,0.809633134
152,30,1,3,3229,262.5670487,81,240.72,0.916794401
152,30,1,4,4128,297.7865421,96,269.11,0.903701014
152,30,2,1,447,196.9744142,26,174.93,0.888084885
152,30,2,2,1067,232.3697288,44,192.32,0.827646531
152,30,2,3,3070,262.1925507,154,221.58,0.845104102
152,30,2,4,5670,293.6764554,105,255.49,0.869971001
152,35,1,1,489,204.4650994,10,188.64,0.922602442
152,35,1,2,1142,230.151796,38,196.06,0.851872561
152,35,1,3,3339,264.5658611,65,227.94,0.861562407
152,35,1,4,4266,300.8865153,65,264,0.877407217
152,35,2,1,588,198.4153519,27,155.37,0.783054328
152,35,2,2,1173,227.5512671,35,188.27,0.827373991
152,35,2,3,3369,262.4081155,119,211.23,0.804967482
152,35,2,4,5600,291.8705203,90,252.39,0.864732758
152,40,1,1,549,193.7808056,17,148.9,0.768393957
152,40,1,1,549,193.7808056,17,148.9,0.768393957
152,40,1,2,1332,236.788219,45,196.56,0.830108866
152,40,1,3,3514,263.6327088,98,223.68,0.848453141
152,40,1,4,4112,297.2232884,66,260.8,0.877454796
152,40,2,1,619,197.9726431,39,167.26,0.844864206
152,40,2,2,1306,231.2318357,50,173.86,0.751886086
152,40,2,3,3596,264.0840893,115,219.22,0.83011438
152,40,2,4,5366,291.0038146,84,242.28,0.832566406
152,45,1,1,673,199.3911641,29,159.85,0.80169049
152,45,1,2,1420,232.6216891,55,188.43,0.810027649
152,45,1,3,3673,258.3136414,80,220,0.851677824
152,45,1,4,3938,293.4396454,51,258.08,0.879499427
152,45,2,1,759,190.7544588,37,150.65,0.789758735
152,45,2,2,1501,230.637305,73,177.32,0.768826188
152,45,2,3,3705,263.3588865,122,207.44,0.787670402
152,45,2,4,4861,287.3195095,75,260.12,0.905333579
152,50,1,1,756,195.1508127,47,158.15,0.81039888
152,50,1,1,756,195.1508127,47,158.15,0.81039888
152,50,1,2,1558,231.0716687,53,194.03,0.839696191
152,50,1,3,3383,258.7243826,67,207.1,0.800465723
152,50,1,4,3588,288.6698591,51,247.01,0.855683377
152,50,2,1,883,190.2751789,54,159.28,0.837103404
152,50,2,2,1788,233.0950911,92,192.17,0.824427486
152,50,2,3,3477,259.9978404,120,199.73,0.768198688
152,50,2,4,4274,282.3465856,56,232.1,0.822039337
152,55,1,1,962,191.9319996,29,154.41,0.80450368
152,55,1,2,1458,231.4855416,41,189.11,0.816940871
152,55,1,3,3237,257.7719857,62,209.49,0.812694985
152,55,1,4,3254,282.8529932,33,243.55,0.861047986
152,55,2,1,1290,192.0526432,88,158.62,0.82591938
152,55,2,2,1852,232.2918702,84,177.55,0.764340138
152,55,2,3,3282,254.6118979,98,210.37,0.826237901
152,55,2,4,3815,280.7795411,49,236.54,0.842440297
170,15,1,1,506,225.6939706,NA,NA,1
170,15,1,2,4961,257.4081019,NA,175.25401,0.68084108
170,15,1,3,2367,275.7654018,NA,237.9574,0.86289795
170,15,2,1,454,222.4591628,NA,NA,1
170,15,2,2,4722,259.2051287,NA,193.34481,0.745914292
170,15,2,3,2599,272.9901098,NA,237.57477,0.870268781
170,60,1,1,1396,195.1226007,NA,NA,1
170,60,1,2,1541,230.9579974,NA,151.9387,0.657862909
170,60,1,3,3519,254.2220849,NA,104.00697,0.409118547
170,60,1,4,3569,279.4827961,NA,246.75632,0.882903433
170,60,2,1,1851,189.7488059,NA,NA,1
170,60,2,2,2301,234.7829446,NA,161.75172,0.688941526
170,60,2,3,3757,255.7530047,NA,224.45135,0.877609826
170,60,2,4,3950,276.4556157,NA,267.12693,0.966256118
170,20,1,1,275,205.7776175,NA,NA,1
170,20,1,2,1565,231.0829519,NA,193.08994,0.835587127
170,20,1,3,6405,277.727866,NA,217.99311,0.784916232
170,20,1,4,2103,291.7478206,NA,263.88703,0.904503861
170,20,2,1,192,194.605945,NA,NA,1
170,20,2,2,1218,237.0561755,NA,205.09223,0.865162992
170,20,2,3,6076,273.8829346,NA,238.01551,0.869041039
170,20,2,4,3081,289.8873735,NA,255.35755,0.880885383
170,25,1,1,298,196.3601544,NA,NA,1
170,25,1,2,1051,232.0876741,NA,179.70001,0.774276405
170,25,1,3,3704,267.340451,NA,219.26306,0.820164173
170,25,1,4,3810,299.750268,NA,263.56098,0.879268538
170,25,2,1,323,196.5729388,NA,49.36598,0.251133143
170,25,2,2,1014,229.5671443,NA,211.64411,0.921926832
170,25,2,3,3260,262.9086568,NA,209.27021,0.795980674
170,25,2,4,5327,295.1491248,NA,253.47197,0.858792891
170,30,1,1,381,190.4162025,NA,NA,1
170,30,1,2,1077,231.7716408,NA,174.16395,0.751446335
170,30,1,3,3229,262.5670487,NA,211.43749,0.805270467
170,30,1,4,4128,297.7865421,NA,263.92549,0.886290858
170,30,2,1,447,196.9744142,NA,NA,1
170,30,2,2,1067,232.3697288,NA,193.34281,0.83204818
170,30,2,3,3070,262.1925507,NA,211.17247,0.805409877
170,30,2,4,5670,293.6764554,NA,258.28269,0.879480412
170,35,1,1,489,204.4650994,NA,NA,1
170,35,1,2,1142,230.151796,NA,189.01582,0.821265892
170,35,1,3,3339,264.5658611,NA,219.61712,0.830103775
170,35,1,4,4266,300.8865153,NA,258.81833,0.860185874
170,35,2,1,588,198.4153519,NA,NA,1
170,35,2,2,1173,227.5512671,NA,184.55576,0.81105134
170,35,2,3,3369,262.4081155,NA,230.9415,0.880085204
170,35,2,4,5600,291.8705203,NA,242.99075,0.832529266
170,40,1,1,549,193.7808056,NA,NA,1
170,40,1,2,1332,236.788219,NA,208.49307,0.880504405
170,40,1,3,3514,263.6327088,NA,202.29043,0.767319165
170,40,1,4,4112,297.2232884,NA,257.565,0.866570723
170,40,2,1,619,197.9726431,NA,NA,1
170,40,2,2,1306,231.2318357,NA,188.51975,0.81528458
170,40,2,3,3596,264.0840893,NA,202.41772,0.766489646
170,40,2,4,5366,291.0038146,NA,253.85259,0.872334235
170,45,1,1,673,199.3911641,NA,213.57856,1.071153584
170,45,1,2,1420,232.6216891,NA,184.82693,0.794538681
170,45,1,3,3673,258.3136414,NA,220.36816,0.853103068
170,45,1,4,3938,293.4396454,NA,245.59799,0.836962537
170,45,2,1,759,190.7544588,NA,218.02904,1.142982667
170,45,2,2,1501,230.637305,NA,150.8567,0.654086294
170,45,2,3,3705,263.3588865,NA,207.77172,0.788929976
170,45,2,4,4861,287.3195095,NA,235.58282,0.819933253
170,50,1,1,756,195.1508127,NA,NA,1
170,50,1,2,1558,231.0716687,NA,199.37451,0.862825422
170,50,1,3,3383,258.7243826,NA,191.55907,0.740398211
170,50,1,4,3588,288.6698591,NA,243.74533,0.844374022
170,50,2,1,883,190.2751789,NA,NA,1
170,50,2,2,1788,233.0950911,NA,150.80191,0.646954465
170,50,2,3,3477,259.9978404,NA,197.41082,0.759278691
170,50,2,4,4274,282.3465856,NA,236.79574,0.838670457
170,55,1,1,962,191.9319996,NA,NA,1
170,55,1,2,1458,231.4855416,NA,164.59443,0.711035466
170,55,1,3,3237,257.7719857,NA,203.61473,0.789902477
170,55,1,4,3254,282.8529932,NA,238.16941,0.842025419
170,55,2,1,1290,192.0526432,NA,137.04871,0.713599707
170,55,2,2,1852,232.2918702,NA,190.45036,0.819875271
170,55,2,3,3282,254.6118979,NA,207.97926,0.816848159
170,55,2,4,3815,280.7795411,NA,217.3682,0.774159681
196,15,1,1,506,225.6939706,6,247.94,1.09856723
196,15,1,2,4961,257.4081019,69,259.79,1.009253392
196,15,1,3,2367,275.7654018,56,271.6,0.984895125
196,15,2,1,454,222.4591628,3,244.03,1.09696538
196,15,2,2,4722,259.2051287,72,264.59,1.020774556
196,15,2,3,2599,272.9901098,84,265.81,0.973698279
196,60,1,1,1396,195.1226007,60,240.28,1.231430901
196,60,1,2,1541,230.9579974,31,261.2,1.130941569
196,60,1,3,3519,254.2220849,52,258.42,1.016512787
196,60,1,4,3569,279.4827961,55,284.17,1.016770993
196,60,2,1,1851,189.7488059,153,239.16,1.260403188
196,60,2,2,2301,234.7829446,43,246.79,1.051141089
196,60,2,3,3757,255.7530047,73,266.67,1.042685697
