"iso","country","age","sex","educ","weighted_OECD_avg","hlo_mean_country","mys","adj_factor","qamys"
100,"Bulgaria",15,0,0,512.534625890665,521.85,8.26,1.01817511176566,8.41012642318437
100,"Bulgaria",15,0,0,512.534625890665,497.77,8.23,0.971192920156355,7.9929177328868
100,"Bulgaria",15,0,0,512.534625890665,474.23,8.36,0.925264315900413,7.73520968092745
100,"Bulgaria",15,0,0,512.534625890665,451.6,8.29,0.881111201443659,7.30441185996793
100,"Bulgaria",15,0,0,512.534625890665,490.67,8.72,0.957340197547299,8.34800652261244
108,"Burundi",15,0,0,512.534625890665,337.04,3.37,0.657594595514993,2.21609378688553
108,"Burundi",15,0,0,512.534625890665,332.33,4.25,0.648404972488421,2.75572113307579
12,"Algeria",15,0,0,512.534625890665,390.17,9.35,0.761255884559948,7.11774252063551
12,"Algeria",15,0,0,512.534625890665,375.14,9.8,0.731931036557959,7.172924158268
120,"Cameroon",15,0,0,512.534625890665,351.96,5.48,0.686704823870926,3.76314243481267
120,"Cameroon",15,0,0,512.534625890665,336.64,6.31,0.656814160438426,4.14449735236647
124,"Canada",15,0,0,512.534625890665,409.38,9.73,0.798736279112057,7.77170399576032
124,"Canada",15,0,0,512.534625890665,479.06,9.8,0.934688069449954,9.15994308060955
124,"Canada",15,0,0,512.534625890665,488.046666666667,9.84,0.95222184417015,9.36986294663427
124,"Canada",15,0,0,512.534625890665,496.696666666667,9.89,0.969098752700902,9.58438666421192
124,"Canada",15,0,0,512.534625890665,500.16,9.93,0.975856019738841,9.69025027600669
124,"Canada",15,0,0,512.534625890665,514.798,9.93,1.00441604136579,9.97385129076233
124,"Canada",15,0,0,512.534625890665,517.0575,9.42,1.00882452400455,9.50312701612286
124,"Canada",15,0,0,512.534625890665,525.653333333333,9.49,1.02559574861868,9.7329036543913
144,"Sri Lanka",15,0,0,512.534625890665,292.3,10.62,0.570302932201022,6.05661713997485
148,"Chad",15,0,0,512.534625890665,287.21,2.94,0.560371895851712,1.64749337380403
148,"Chad",15,0,0,512.534625890665,300.46,3.57,0.58622380776298,2.09281899371384
152,"Chile",15,0,0,512.534625890665,340.61,8.53,0.664559978573349,5.66869661723067
152,"Chile",15,0,0,512.534625890665,332.81,8.89,0.649341494580301,5.77264588681888
152,"Chile",15,0,0,512.534625890665,330.36,9.25,0.644561329736331,5.96219230006106
152,"Chile",15,0,0,512.534625890665,332.04,9.63,0.647839157057911,6.23869108246768
152,"Chile",15,0,0,512.534625890665,349.23,9.9,0.681378354473359,6.74564570928626
152,"Chile",15,0,0,512.534625890665,351.9,10.05,0.686587758609441,6.90020697402488
152,"Chile",15,0,0,512.534625890665,371.98,10.16,0.725765599453083,7.37377849044332
152,"Chile",15,0,0,512.534625890665,404.38,8.79,0.788980840654975,6.93514158935723
152,"Chile",15,0,0,512.534625890665,430,8.99,0.838967707309064,7.54231968870848
152,"Chile",15,0,0,512.534625890665,455.97,9.18,0.889637454655149,8.16687183373426
156,"China",15,0,0,512.534625890665,539.2,8.89,1.05202648321174,9.35251543575235
156,"China",15,0,0,512.534625890665,602.23,10,1.17500354040172,11.7500354040172
156,"China",15,0,0,512.534625890665,554.72,10.3,1.08230736418252,11.14776585108
158,"Taiwan Province of China",15,0,0,512.534625890665,571.59,9.78,1.11522221353672,10.9068732483891
158,"Taiwan Province of China",15,0,0,512.534625890665,558.12,9.82,1.08894106233334,10.6934012321134
158,"Taiwan Province of China",15,0,0,512.534625890665,580.93,9.85,1.13344537257455,11.1644369198593
158,"Taiwan Province of China",15,0,0,512.534625890665,596.9,9.87,1.16460424300647,11.4946438784738
158,"Taiwan Province of China",15,0,0,512.534625890665,597.75,10.02,1.16626266754417,11.6859519287926
170,"Colombia",15,0,0,512.534625890665,352.36,7.3,0.687485258947492,5.0186423903167
170,"Colombia",15,0,0,512.534625890665,371.01,7.58,0.723873044392409,5.48695767649446
170,"Colombia",15,0,0,512.534625890665,386.63,7.86,0.754349034132333,5.92918340828014
170,"Colombia",15,0,0,512.534625890665,401.58,8.23,0.783517795119009,6.44835145382944
170,"Colombia",15,0,0,512.534625890665,413.67,8.58,0.807106445308234,6.92497330074465
174,"Comoros",15,0,0,512.534625890665,297.43,6.9,0.580312012057988,4.00415288320012
180,"Democratic Republic of the Congo",15,0,0,512.534625890665,340.17,6.65,0.663701499989126,4.41361497492769
188,"Costa Rica",15,0,0,512.534625890665,440.23,7.95,0.858927334392254,6.82847230841842
188,"Costa Rica",15,0,0,512.534625890665,431.01,8.16,0.840938305877394,6.86205657595954
188,"Costa Rica",15,0,0,512.534625890665,422.54,8.48,0.824412593131097,6.99101878975171
191,"Croatia",15,0,0,512.534625890665,436.37,8.73,0.851396135903387,7.43268826643656
191,"Croatia",15,0,0,512.534625890665,489.34,8.75,0.954745250917715,8.35402094553
191,"Croatia",15,0,0,512.534625890665,483.87,8.77,0.944072801245667,8.2795184669245
191,"Croatia",15,0,0,512.534625890665,491.55,9.09,0.959057154715745,8.71782953636612
192,"Cuba",15,0,0,512.534625890665,505.21,9.17,0.985709012580493,9.03895164536312
192,"Cuba",15,0,0,512.534625890665,507.91,9.45,0.990976949347318,9.36473217133215
196,"Cyprus",15,0,0,512.534625890665,438.76,9.85,0.856059235485872,8.43218346953584
196,"Cyprus",15,0,0,512.534625890665,471.45,9.94,0.919840292118275,9.14321250365565
196,"Cyprus",15,0,0,512.534625890665,484.05,10.02,0.944423997030122,9.46312845024182
196,"Cyprus",15,0,0,512.534625890665,486.82,10.08,0.949828509935345,9.57427138014828
