"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys"
"Cameroon",2015,120,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,0.535209170760756,0.433176575677167,0.0316142535620769,22.928963,336.64,5.06119624115,5.7350745746,4.04895699292
"Canada",2015,124,13.29,"Canada",0,0,0,262.45345050269,182648,273.58,24462,13.29,1.04239437308216,13.8534212182618,88.6,0.218704099345707,0.619806271420305,0.161489629233988,0.200718699596004,519.69,NA,NA,13.8534212182618
"Cape Verde",2015,132,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.419778570088197,0.535560142615875,0.0446612872959279,13.209709,NA,NA,NA,NA
"Central African Republic",2015,140,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10000000000001,0.550672034140654,0.412723553091797,0.0366044127675488,62.604179,NA,NA,NA,NA
"Chad",2015,148,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19999999999999,0.587412737162191,0.387960940511371,0.024626322326438,75.842728,300.46,0.88456788486,1.12934663341,0.707654307888
"Channel Islands",2015,830,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.7,0.200122025625381,0.62660158633313,0.173276388041489,0.200718699596004,NA,NA,NA,NA
"Chile",2015,152,11.32,"Chile",0,0,0,262.45345050269,182648,218.59,4789,11.32,0.832871503808862,9.42810542311631,62.6,0.283323855798844,0.612477690259159,0.104198453941997,3.3617935,455.97,NA,NA,9.42810542311631
"China",2015,156,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,0.234679165881684,0.668561457416526,0.09675937670179,3.159111,554.72,NA,NA,NA
"Colombia",2015,170,8.51,"Colombia",0,0,0,262.45345050269,182648,231.02594,NA,8.51,0.880254915900342,7.49096933431191,49.1,0.32725474708147,0.602364677857734,0.0703805750607962,5.3361993,413.67,NA,NA,7.49096933431191
"Comoros",2015,174,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9,0.506109324758842,0.464951768488746,0.0289389067524116,41.18298,297.43,4.2442661197,5.10633103906,3.39541289576
