"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","sex_ratio","qamys","adj_fact_dhs","fit2","lwr2","upr2","plot","qamys_pred"
"Botswana",2015,72,9.74,NA,NA,0.442,0.415146439726585,0.547598569553212,0.0372549907202028,"Botswana",0.12104816,398.47,NA,NA,0.55,0.49,0.06,0.98,NA,NA,6.34314574442132,6.0750614782815,6.6230602075079,2,6.34314574442132
"Brazil",2015,76,7.49,NA,NA,0.451,0.309549301779262,0.61083959835859,0.0796110998621476,"Brazil",0.072100849,408.76,NA,NA,0.44,0.32,0.11,0.97,NA,NA,5.6608602513382,5.45788275053606,5.87138644230374,3,5.6608602513382
"Brunei Darussalam",2015,96,9.77,NA,NA,0.397,0.322078544061303,0.636973180076628,0.040948275862069,"Brunei",0.027858887,NA,NA,NA,0.38,0.33,0.06,1.06,NA,NA,7.62407725920057,7.21732753280009,8.05375033765554,2,7.62407725920057
"Bulgaria",2015,100,11.7,NA,NA,0.798,0.182545099951243,0.616716584244619,0.200738315804137,"Bulgaria",0.0067916721,490.67,NA,NA,0.52,0.21,0.3,0.95,NA,NA,12.3182164389303,11.6221112128114,13.0560148201875,1,12.3182164389303
"Burkina Faso",2015,854,2.58,0.1820248624,NA,0.065,0.564448174755244,0.411471073832545,0.024080751412211,"Burkina Faso",0.58775551,296.88,0.58703018124,0.8035790937,0.92,0.88,0.05,0.99,0.469624144992,0.1820248624,0.671907347746255,0.628180122647888,0.718678397610589,3,0.469624144992
"Burundi",2015,108,3.95,0.5438550488,NA,0.055,0.549835287658339,0.425144123298953,0.0250205890427076,"Burundi",0.31624672,332.33,2.68528430345,2.9274253904,0.9,0.85,0.05,0.97,2.14822744276,0.5438550488,1.74234837100584,1.67835538116546,1.80878131057001,3,2.14822744276
"Cambodia",2015,116,5.28,0.481768756,NA,0.118,0.417071536270732,0.541741304431872,0.0411871592973955,"Cambodia",0.19473511,NA,3.1796737896,4.2739603896,0.56,0.49,0.06,0.95,2.54373903168,0.481768756,2.98037356095979,2.87234233673543,3.09246793088172,3,2.54373903168
"Cameroon",2015,120,7.49,0.540581708,NA,0.208,0.535209170760756,0.433176575677167,0.0316142535620769,"Cameroon",0.22928963,336.64,5.06119624115,5.7350745746,0.86,0.8,0.06,1,4.04895699292,0.540581708,3.95360634816419,3.8162765296222,4.09587802008457,3,4.04895699292
"Canada",2015,124,13.29,1.04239437308215,13.8534212182618,0.886,0.218704099345707,0.619806271420305,0.161489629233988,"Canada",0.002007187,519.69,NA,NA,0.47,0.24,0.24,0.98,13.8534212182618,1.04239437308215,13.2385868186179,12.6807674834795,13.8209442908257,1,13.8534212182618
"Cape Verde",2015,132,6.61,NA,NA,0.13,0.419778570088197,0.535560142615875,0.0446612872959279,"Cape Verde",0.13209709,NA,NA,NA,0.55,0.48,0.07,0.99,NA,NA,4.25906228102876,4.09469772892841,4.43002456213759,3,4.25906228102876
"Central African Republic",2015,140,5.85,NA,NA,0.0910000000000001,0.550672034140654,0.412723553091797,0.0366044127675488,"Central African Republic",0.62604179,NA,NA,NA,0.9,0.83,0.07,0.97,NA,NA,1.44522118070037,1.33991119090472,1.55880798318782,3,1.44522118070037
"Chad",2015,148,2.93,0.2415202416,NA,0.0619999999999999,0.587412737162191,0.387960940511371,0.024626322326438,"Chad",0.75842728,300.46,0.88456788486,1.12934663341,1,0.95,0.05,1,0.707654307888,0.2415202416,0.54790111520778,0.498431705085959,0.602280370575861,3,0.707654307888
"Channel Islands",2015,830,12.06,NA,NA,0.737,0.200122025625381,0.62660158633313,0.173276388041489,NA,0.013,NA,NA,NA,0.47,0.22,0.25,0.98,NA,NA,11.8871584733536,11.3636766058113,12.4347551828745,1,11.8871584733536
"Chile",2015,152,11.32,0.832871503808861,9.42810542311631,0.626,0.283323855798844,0.612477690259159,0.104198453941997,"Chile",0.033617935,455.97,NA,NA,0.45,0.3,0.15,0.98,9.42810542311631,0.832871503808861,9.62502935447735,9.29358186941279,9.96829762477836,1,9.42810542311631
