iso,country,age,sex,educ,weighted_OECD_avg,n_OECD,mean_country,n_country,mys,adj_factor,qamys
203,Czech Republic,35,0,0,267.4456476,20202,277.67,606,13.19,1.038229646,13.69424903
203,Czech Republic,40,0,0,265.3764196,20700,271.83,430,12.77,1.02431859,13.0805484
203,Czech Republic,45,0,0,260.8955502,20792,268.49,400,12.73,1.029109158,13.10055958
203,Czech Republic,50,0,0,257.1090615,19965,263.44,437,12.69,1.024623553,13.00247288
203,Czech Republic,55,0,0,251.8650617,19398,263.81,521,12.52,1.047425944,13.11377282
203,Czech Republic,60,0,0,247.9343738,22178,261.25,882,12.21,1.053706253,12.86575335
208,Denmark,15,0,0,261.9894635,15982,271.34,516,9.75,1.035690506,10.09798243
208,Denmark,20,0,0,269.8799462,21086,280.68,554,11.74,1.040017993,12.20981124
208,Denmark,25,0,0,272.0584632,19004,283.88,460,12.75,1.043452193,13.30401546
208,Denmark,30,0,0,268.8703795,19323,280.43,578,13.16,1.042993284,13.72579161
208,Denmark,35,0,0,267.4456476,20202,283.86,625,13.01,1.061374536,13.80848271
208,Denmark,40,0,0,265.3764196,20700,278.77,737,12.99,1.050470123,13.64560689
208,Denmark,45,0,0,260.8955502,20792,268.16,772,12.74,1.027844284,13.09473618
208,Denmark,50,0,0,257.1090615,19965,262.64,688,12.51,1.021512033,12.77911553
208,Denmark,55,0,0,251.8650617,19398,256.91,1052,12.35,1.020030322,12.59737448
208,Denmark,60,0,0,247.9343738,22178,249.21,1346,12.28,1.005145015,12.34318079
218,Ecuador,15,0,0,261.9894635,15982,206.58,706,9.01,0.788504993,7.104429984
218,Ecuador,20,0,0,269.8799462,21086,205.18,717,10.51,0.760263973,7.990374352
218,Ecuador,25,0,0,272.0584632,19004,204.19,671,10.31,0.75053721,7.738038638
218,Ecuador,30,0,0,268.8703795,19323,200.62,695,9.89,0.746158801,7.379510541
218,Ecuador,35,0,0,267.4456476,20202,193.03,624,9.39,0.721754127,6.777271257
218,Ecuador,40,0,0,265.3764196,20700,191.71,557,9.14,0.722407817,6.602807449
218,Ecuador,45,0,0,260.8955502,20792,192.74,494,8.92,0.738763079,6.589766665
218,Ecuador,50,0,0,257.1090615,19965,185.61,435,8.58,0.721911546,6.194001062
218,Ecuador,55,0,0,251.8650617,19398,186.06,374,7.93,0.7387289,5.858120177
218,Ecuador,60,0,0,247.9343738,22178,175.9,429,7.11,0.709461933,5.044274341
233,Estonia,15,0,0,261.9894635,15982,281.87,545,9.14,1.075882962,9.833570272
233,Estonia,20,0,0,269.8799462,21086,290.55,810,11.58,1.07658981,12.46691
233,Estonia,25,0,0,272.0584632,19004,287.87,714,13.05,1.058118158,13.80844196
233,Estonia,30,0,0,268.8703795,19323,284.01,718,13.47,1.05630825,14.22847212
233,Estonia,35,0,0,267.4456476,20202,279.1,777,13.42,1.043576527,14.00479699
233,Estonia,40,0,0,265.3764196,20700,276.38,789,13.38,1.041464047,13.93478895
233,Estonia,45,0,0,260.8955502,20792,270.76,766,13.47,1.037809958,13.97930013
233,Estonia,50,0,0,257.1090615,19965,266.88,785,13.63,1.038003089,14.1479821
233,Estonia,55,0,0,251.8650617,19398,261.95,815,13.68,1.040041037,14.22776139
233,Estonia,60,0,0,247.9343738,22178,259.41,913,13.5,1.046284934,14.12484661
246,Finland,15,0,0,261.9894635,15982,288.41,422,9.17,1.100845798,10.09475597
246,Finland,20,0,0,269.8799462,21086,304.1,473,11.5,1.12679732,12.95816918
246,Finland,25,0,0,272.0584632,19004,307.33,491,12.93,1.129646902,14.60633444
246,Finland,30,0,0,268.8703795,19323,310.31,553,13.52,1.1541249,15.60376865
246,Finland,35,0,0,267.4456476,20202,304.87,480,13.41,1.139932554,15.28649555
246,Finland,40,0,0,265.3764196,20700,292.89,491,13.6,1.103677563,15.01001485
246,Finland,45,0,0,260.8955502,20792,290.73,579,13.42,1.114354,14.95463068
246,Finland,50,0,0,257.1090615,19965,276.28,544,13.32,1.074563449,14.31318515
246,Finland,55,0,0,251.8650617,19398,265.24,642,13.07,1.053103587,13.76406388
246,Finland,60,0,0,247.9343738,22178,255.1,789,12.53,1.028901302,12.89213331
250,France,15,0,0,261.9894635,15982,270.6,536,9.79,1.032865965,10.1117578
250,France,20,0,0,269.8799462,21086,279.42,563,12.18,1.035349251,12.61055387
250,France,25,0,0,272.0584632,19004,280.43,593,12.98,1.030771095,13.37940881
250,France,30,0,0,268.8703795,19323,275.65,629,13.01,1.0252152,13.33804976
250,France,35,0,0,267.4456476,20202,271.7,673,12.76,1.015907353,12.96297783
250,France,40,0,0,265.3764196,20700,262.48,752,12.52,0.989085618,12.38335194
250,France,45,0,0,260.8955502,20792,254.6,795,12.15,0.975869461,11.85681395
250,France,50,0,0,257.1090615,19965,252.74,744,11.67,0.983006972,11.47169136
250,France,55,0,0,251.8650617,19398,242.85,809,11.22,0.964206779,10.81840006
250,France,60,0,0,247.9343738,22178,240.85,899,10.77,0.971426415,10.46226249
276,Germany,15,0,0,261.9894635,15982,275.22,511,9.21,1.050500262,9.675107411
276,Germany,20,0,0,269.8799462,21086,282.48,558,12.8,1.046687625,13.39760161
276,Germany,25,0,0,272.0584632,19004,284.77,503,13.99,1.046723549,14.64366244
276,Germany,30,0,0,268.8703795,19323,277.61,491,14.1,1.032504958,14.55831991
276,Germany,35,0,0,267.4456476,20202,273.7,476,13.98,1.023385508,14.30692941
276,Germany,40,0,0,265.3764196,20700,276.49,648,13.86,1.041878553,14.44043674
276,Germany,45,0,0,260.8955502,20792,267,687,13.8,1.02339806,14.12289323
276,Germany,50,0,0,257.1090615,19965,259.95,622,13.72,1.011049546,13.87159978
276,Germany,55,0,0,251.8650617,19398,260.39,489,13.67,1.033847244,14.13269183
276,Germany,60,0,0,247.9343738,22178,246.52,480,13.54,0.99429537,13.46275931
300,Greece,15,0,0,261.9894635,15982,260.78,232,9.65,0.995383541,9.605451175
300,Greece,20,0,0,269.8799462,21086,257.07,449,11.95,0.95253465,11.38278906
300,Greece,25,0,0,272.0584632,19004,251.22,463,12.67,0.923404466,11.69953459
300,Greece,30,0,0,268.8703795,19323,258.79,502,12.59,0.962508404,12.11798081
300,Greece,35,0,0,267.4456476,20202,255.38,594,12.32,0.954885609,11.7641907
300,Greece,40,0,0,265.3764196,20700,252.86,645,12.06,0.952835223,11.49119279
300,Greece,45,0,0,260.8955502,20792,257.43,619,11.77,0.986716714,11.61365572
300,Greece,50,0,0,257.1090615,19965,250.43,506,11.39,0.974022458,11.09411579
300,Greece,55,0,0,251.8650617,19398,248.66,454,10.87,0.987274687,10.73167585
300,Greece,60,0,0,247.9343738,22178,248.94,461,10.29,1.004056018,10.33173642
348,Hungary,15,0,0,261.9894635,15982,266.99,370,9.01,1.019086785,9.18197193
348,Hungary,20,0,0,269.8799462,21086,273.35,508,11.99,1.012857768,12.14416464
348,Hungary,25,0,0,272.0584632,19004,277.01,520,13.02,1.018200268,13.25696748
348,Hungary,30,0,0,268.8703795,19323,274.79,534,13.02,1.022016633,13.30665656
348,Hungary,35,0,0,267.4456476,20202,269.39,628,12.86,1.007270084,12.95349329
348,Hungary,40,0,0,265.3764196,20700,269.19,764,12.54,1.014370457,12.72020553
348,Hungary,45,0,0,260.8955502,20792,265.64,675,12.31,1.018185246,12.53386038
348,Hungary,50,0,0,257.1090615,19965,258.22,599,12.18,1.004320884,12.23262837
348,Hungary,55,0,0,251.8650617,19398,249.43,637,11.96,0.99033188,11.84436928
348,Hungary,60,0,0,247.9343738,22178,242.9,914,11.75,0.979694732,11.51141311
372,Ireland,15,0,0,261.9894635,15982,267.18,337,11.57,1.019812005,11.79922489
372,Ireland,20,0,0,269.8799462,21086,273.93,417,13.86,1.015006872,14.06799525
372,Ireland,25,0,0,272.0584632,19004,274.74,580,14.61,1.009856473,14.75400307
372,Ireland,30,0,0,268.8703795,19323,276.27,817,14.53,1.027521144,14.92988222
372,Ireland,35,0,0,267.4456476,20202,272.51,832,13.33,1.018936006,13.58241696
372,Ireland,40,0,0,265.3764196,20700,269.63,784,12.21,1.016028479,12.40570773
372,Ireland,45,0,0,260.8955502,20792,258.03,574,11.82,0.989016485,11.69017485
372,Ireland,50,0,0,257.1090615,19965,260.57,528,11.3,1.013460974,11.45210901
372,Ireland,55,0,0,251.8650617,19398,251.02,483,10.84,0.996644784,10.80362946
372,Ireland,60,0,0,247.9343738,22178,250.03,631,10.19,1.008452342,10.27612937
376,Israel,15,0,0,261.9894635,15982,264.54,635,10.84,1.009735264,10.94553026
376,Israel,20,0,0,269.8799462,21086,260.57,721,12.24,0.965503379,11.81776136
376,Israel,25,0,0,272.0584632,19004,269.04,655,12.41,0.988905094,12.27231221
376,Israel,30,0,0,268.8703795,19323,268.22,631,12.28,0.997581067,12.2502955
376,Israel,35,0,0,267.4456476,20202,261.4,611,11.94,0.977394855,11.67009457
376,Israel,40,0,0,265.3764196,20700,257.78,535,11.6,0.971374926,11.26794914
376,Israel,45,0,0,260.8955502,20792,251.47,439,11.57,0.963872323,11.15200277
376,Israel,50,0,0,257.1090615,19965,243.01,443,11.5,0.945163109,10.86937576
376,Israel,55,0,0,251.8650617,19398,230.76,379,11.39,0.916204885,10.43557364
376,Israel,60,0,0,247.9343738,22178,224.41,489,11.23,0.905118546,10.16448127
380,Italy,15,0,0,261.9894635,15982,265.11,223,9.34,1.011910924,9.451248027
380,Italy,20,0,0,269.8799462,21086,255.33,303,12.27,0.946087339,11.60849164
380,Italy,25,0,0,272.0584632,19004,264.13,345,13.18,0.970857502,12.79590188
380,Italy,30,0,0,268.8703795,19323,256.98,446,13.09,0.955776536,12.51111486
380,Italy,35,0,0,267.4456476,20202,252.97,600,12.72,0.945874432,12.03152278
380,Italy,40,0,0,265.3764196,20700,252.59,644,12.31,0.951817801,11.71687712
380,Italy,45,0,0,260.8955502,20792,249.43,564,11.75,0.956053102,11.23362394
380,Italy,50,0,0,257.1090615,19965,248,461,11.3,0.964571216,10.89965474
380,Italy,55,0,0,251.8650617,19398,238.06,421,10.98,0.945188659,10.37817148
380,Italy,60,0,0,247.9343738,22178,230.21,614,10.45,0.928511833,9.702948659
392,Japan,15,0,0,261.9894635,15982,295.27,376,9.94,1.127030057,11.20267877
392,Japan,20,0,0,269.8799462,21086,302.59,409,13.38,1.121202239,15.00168596
392,Japan,25,0,0,272.0584632,19004,309.26,420,14.41,1.136740965,16.38043731
392,Japan,30,0,0,268.8703795,19323,309.16,513,14.37,1.149847746,16.52331212
392,Japan,35,0,0,267.4456476,20202,308.06,650,14.16,1.151860211,16.31034059
392,Japan,40,0,0,265.3764196,20700,305.85,592,13.95,1.152513854,16.07756826
392,Japan,45,0,0,260.8955502,20792,299.69,545,13.79,1.148697246,15.84053502
392,Japan,50,0,0,257.1090615,19965,294.1,492,13.73,1.143872559,15.70537023
392,Japan,55,0,0,251.8650617,19398,283.63,517,13.55,1.126118875,15.25891076
392,Japan,60,0,0,247.9343738,22178,266.95,764,12.95,1.076696208,13.94321589
398,Kazakhstan,15,0,0,261.9894635,15982,247.16,339,9.92,0.943396718,9.358495442
398,Kazakhstan,20,0,0,269.8799462,21086,249.99,643,11.87,0.926300763,10.99519005
398,Kazakhstan,25,0,0,272.0584632,19004,247.47,815,12.14,0.909620664,11.04279486
398,Kazakhstan,30,0,0,268.8703795,19323,250.72,848,12.08,0.932493942,11.26452681
398,Kazakhstan,35,0,0,267.4456476,20202,252.94,766,11.11,0.94576226,10.50741871
398,Kazakhstan,40,0,0,265.3764196,20700,248.33,649,10.77,0.935765131,10.07819046
398,Kazakhstan,45,0,0,260.8955502,20792,248.01,575,10.75,0.95061031,10.21906084
398,Kazakhstan,50,0,0,257.1090615,19965,247.13,534,10.7,0.961187438,10.28470558
398,Kazakhstan,55,0,0,251.8650617,19398,251.75,440,10.59,0.999543161,10.58516208
398,Kazakhstan,60,0,0,247.9343738,22178,246.1,441,10.43,0.992601374,10.35283233
40,Austria,15,0,0,261.9894635,15982,269.98,430,10.3,1.030499457,10.61414441
40,Austria,20,0,0,269.8799462,21086,283.64,468,12.08,1.050985833,12.69590886
40,Austria,25,0,0,272.0584632,19004,283.27,480,12.61,1.041210028,13.12965845
