"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","above_sec","bach_n_higher","master_n_above","sex_ratio","qamys"
"Azerbaijan",2015,31,11,NA,NA,0.894,0.303927379355523,0.638685258549875,0.0573873620946023,"Azerbaijan",0.0021021526,453.14,NA,NA,0.4,0.32,0.08,0.158,0,0,0.99,NA
"Bahamas",2015,44,12.94,NA,NA,0.907,0.28593588417787,0.631075491209928,0.0829886246122027,"Bahamas",0.030730619,NA,NA,NA,0.41,0.29,0.12,0.335,0,0,0.96,NA
"Bahrain",2015,48,9.39,NA,NA,0.458,0.262755102040816,0.71399416909621,0.0232507288629738,"Bahrain",0.026884129,452.36,NA,NA,0.3,0.27,0.03,0.402,0.095,0.022,1.61,NA
"Bangladesh",2015,50,5.66,NA,NA,0.205,0.394148770194596,0.555469189573468,0.0503820402319351,"Bangladesh",0.28824696,NA,3.10795318176,3.7947936667,0.53,0.45,0.08,0.054,0,0,1.02,2.486362545408
"Barbados",2015,52,10.24,NA,NA,0.497,0.258529722124516,0.599718607105171,0.141751670770313,"Barbados",0.070446215,NA,NA,NA,0.5,0.29,0.21,0.192,0,0,0.92,NA
"Belarus",2015,112,11.56,NA,NA,0.959,0.210049657877258,0.64658562557328,0.143364716549463,"Belarus",0.0024343872,NA,NA,NA,0.44,0.23,0.21,0.253,0,0,0.87,NA
"Belgium",2015,56,11.95,1.04894791618363,12.5349275983944,0.737,0.225905615747836,0.592670027197264,0.1814243570549,"Belgium",0.004014374,529.11,NA,NA,0.54,0.26,0.28,0.637,0.1,0.091,0.97,12.5349275983944
"Belize",2015,84,8.73,NA,NA,0.396,0.431394377957139,0.531032563317562,0.0375730587252992,"Belize",0.029743707,NA,NA,NA,0.57,0.51,0.06,0.332,0.061,0.014,0.99,NA
"Benin",2015,204,4.3,NA,NA,0.102,0.537564766839378,0.43015581861503,0.0322794145455921,"Benin",0.576376,279.03,1.5559994061,1.9189865033,0.86,0.8,0.06,0.031,0,0,0.99,1.24479952488
"Bhutan",2015,64,5.12,NA,NA,0.141,0.370793650793651,0.582349206349206,0.0468571428571429,"Bhutan",0.3343885,NA,NA,NA,0.47,0.4,0.07,0.082,0,0,1.13,NA
"Bolivia (Plurinational State of)",2015,68,9.53,0.745894937273814,7.10837875221945,0.481,0.425317258291607,0.510028252538533,0.0646544891698602,"Bolivia",0.075449219,NA,9.0506785482,9.21416672744,0.64,0.53,0.11,0.389,0.146,0.016,1,7.10837875221945
"Bosnia and Herzegovina",2015,70,11.24,NA,NA,0.731,0.210803167420814,0.632013574660634,0.157183257918552,"Bosnia and Herzegovina",0.017880181,460.77,NA,NA,0.43,0.21,0.23,0.311,0.114,0.015,0.96,NA
"Botswana",2015,72,9.74,NA,NA,0.442,0.415146439726585,0.547598569553212,0.0372549907202028,"Botswana",0.12104816,398.47,NA,NA,0.55,0.49,0.06,0.38,0.073,0.01,0.98,NA
"Brazil",2015,76,7.49,NA,NA,0.451,0.309549301779262,0.61083959835859,0.0796110998621476,"Brazil",0.072100849,408.76,NA,NA,0.44,0.32,0.11,0.25,0.125,0.007,0.97,NA
"Brunei Darussalam",2015,96,9.77,NA,NA,0.397,0.322078544061303,0.636973180076628,0.040948275862069,"Brunei",0.027858887,NA,NA,NA,0.38,0.33,0.06,0.1,0,0,1.06,NA
"Bulgaria",2015,100,11.7,NA,NA,0.798,0.182545099951243,0.616716584244619,0.200738315804137,"Bulgaria",0.0067916721,490.67,NA,NA,0.52,0.21,0.3,0.568,0.27,0.162,0.95,NA
"Burkina Faso",2015,854,2.58,NA,NA,0.065,0.564448174755244,0.411471073832545,0.024080751412211,"Burkina Faso",0.58775551,296.88,0.58703018124,0.8035790937,0.92,0.88,0.05,0.017,0,0,0.99,0.469624144992
"Burundi",2015,108,3.95,NA,NA,0.055,0.549835287658339,0.425144123298953,0.0250205890427076,"Burundi",0.31624672,332.33,2.68528430345,2.9274253904,0.9,0.85,0.05,0.022,0,0,0.97,2.14822744276
"Cambodia",2015,116,5.28,NA,NA,0.118,0.417071536270732,0.541741304431872,0.0411871592973955,"Cambodia",0.19473511,NA,3.1796737896,4.2739603896,0.56,0.49,0.06,0.026,0,0,0.95,2.54373903168
"Cameroon",2015,120,7.49,NA,NA,0.208,0.535209170760756,0.433176575677167,0.0316142535620769,"Cameroon",0.22928963,336.64,5.06119624115,5.7350745746,0.86,0.8,0.06,0.086,0,0,1,4.04895699292
"Canada",2015,124,13.29,1.04239437308216,13.8534212182618,0.886,0.218704099345707,0.619806271420305,0.161489629233988,"Canada",0.002007187,519.69,NA,NA,0.47,0.24,0.24,1.283,0.265,0.063,0.98,13.8534212182618
"Cape Verde",2015,132,6.61,NA,NA,0.13,0.419778570088197,0.535560142615875,0.0446612872959279,"Cape Verde",0.13209709,NA,NA,NA,0.55,0.48,0.07,0.055,0,0,0.99,NA
"Central African Republic",2015,140,5.85,NA,NA,0.0910000000000001,0.550672034140654,0.412723553091797,0.0366044127675488,"Central African Republic",0.62604179,NA,NA,NA,0.9,0.83,0.07,0.024,0,0,0.97,NA
"Chad",2015,148,2.93,NA,NA,0.0619999999999999,0.587412737162191,0.387960940511371,0.024626322326438,"Chad",0.75842728,300.46,0.88456788486,1.12934663341,1,0.95,0.05,0.022,0,0,1,0.707654307888
"Channel Islands",2015,830,12.06,NA,NA,0.737,0.200122025625381,0.62660158633313,0.173276388041489,NA,0.013,NA,NA,NA,0.47,0.22,0.25,0.382,0,0,0.98,NA
"Chile",2015,152,11.32,0.832871503808862,9.42810542311631,0.626,0.283323855798844,0.612477690259159,0.104198453941997,"Chile",0.033617935,455.97,NA,NA,0.45,0.3,0.15,0.177,0,0,0.98,9.42810542311631
