"iso","illiterate_prop"
4,56.980282
8,1.8588486
12,18.592163
24,33.969887
28,1.0500031
31,0.21021526
32,0.89705402
36,0.200718699596004
40,0.200718699596004
44,3.0908464189511
48,2.6884129
50,28.824696
51,0.26393127
52,0.40000153
56,0.401437399192008
64,33.43885
68,7.5449219
70,2.4330978
72,13.176819
76,7.2100849
84,2.97104704803771
90,9
96,2.7858887
100,1.6475525
104,24.448799
108,31.624672
112,0.24343872
116,19.473511
120,22.928963
124,0.200718699596004
132,13.209709
140,62.604179
144,8.0025072
148,75.842728
152,3.3617935
156,3.159111
158,2.87817159145408
170,5.3361993
174,41.18298
175,32.3331481691467
178,19.701241
180,22.957321
188,2.1362076
191,0.87464142
192,0.24746704
196,1.3215714
203,0.200718699596004
204,57.6376
208,0.200718699596004
214,7.1151657
218,6.1214423
222,11.599268
226,5.6294632
231,48.228821
232,23.429482
233,0.11421204
242,0.91789246
246,0.200718699596004
250,0.401437399192008
254,9
258,9
262,19.0515236129458
266,15.33284
268,0.63574219
270,49.222031
275,3.053477
276,0.200718699596004
288,20.960358
296,9
300,2.0640488
308,1.4000015
312,4
316,9
320,21.136856
324,71.344208
328,14.360268
332,38.308651
340,11.966817
344,2.87817159145408
348,0.90000153
352,0.401437399192008
356,25.627007
360,4.5821786
364,14.45575
368,15.549999
372,0.401437399192008
376,1.57162168711461
380,0.84423828
384,52.834648
388,11.900002
392,0.200718699596004
398,0.21836853
400,1.7728882
404,18.465027
408,0.200718699596004
410,0.608500357980093
414,4.0740433
417,0.41400146
418,15.338959
422,4.9305573
426,23.364799
428,0.11068726
430,51.698639
434,9.27635766818176
440,0.18440247
442,0.200718699596004
446,3.4615097
450,25.195679
454,37.856461
458,5.4427466
462,2.2650528
466,65.728668
470,5.4968109
474,3.0999985
478,46.502411
480,7.6030555
484,5.0788517
496,1.5768814
498,0.75089645
499,1.1528168
504,26.249992
508,41.652786
512,5.2084694
516,8.4727325
524,32.091568
528,0.401437399192008
531,3.6
533,2.1925812
540,2.1999969
548,12.49369
554,0.200718699596004
558,17.385452
562,69.439606
566,37.98399
578,0.200718699596004
583,9
585,3.4062576
586,40.86795
591,4.5881882
598,38.400002
600,5.2580414
604,5.7765274
608,1.8174515
616,0.200718699596004
620,3.8624115
624,54.418839
626,31.933167
630,7.6100006
634,6.6953659
638,5.64068932760919
642,1.1555023
643,0.230494594398672
646,26.784409
662,9
670,9
674,0.083572388
678,7.1833572
682,4.6713715
686,48.099579
688,1.50359349798003
690,4.1322937
694,56.793671
702,2.894453
703,0.200718699596004
704,4.9996185
705,0.30000305
706,62.25
710,9.2927055
716,13.861935
724,1.7232437
728,65.477242
729,25.8591927498123
732,NA
736,39.302818
740,5.6167297
748,11.58062
752,0.200718699596004
756,0.200718699596004
760,15.0059329236894
762,0.19999695
764,6.6819649
768,36.254379
776,0.58563232
780,1.3000031
784,6.7728577
788,20.490084
792,4.0269089
795,0.30000305
800,23.472504
804,0.025650024
807,2.1999969
810,0.26994324
818,28.831749
826,0.200718699596004
830,0.200718699596004
834,22.11277
840,0.200718699596004
850,9
854,58.775551
858,1.3987694
860,0.012235005
862,3.1338463
882,0.90422821
887,31.734136537265
890,1.158493
894,13.252037
900,NA
584,1.7349167
