"iso","country","age","sex","mys","adj_factor","qamys","diff","qamys_old","diff_old_new"
124,"Canada",15,1,9.44,1.00546178847915,9.49155928324313,-0.0515592832431331,9.627172653,-0.135613369756868
152,"Chile",15,1,9.12,0.850430772662952,7.75592864668612,1.36407135331388,8.058673891,-0.302745244313876
170,"Colombia",15,1,8.37,0.625184986288923,5.23279833523829,3.13720166476171,8.18118309,-2.94838475476171
196,"Cyprus",15,1,10.15,0.998743180174225,10.1372432787684,0.0127567212316144,10.27410338,-0.136860101231614
203,"Czechia",15,1,9.94,1.05477624320395,10.4844758574473,-0.544475857447267,10.53116517,-0.0466893125527328
208,"Denmark",15,1,9.71,1.04431820530904,10.1403297735508,-0.43032977355076,9.911056055,0.229273718550761
218,"Ecuador",15,1,8.92,0.803995940750262,7.17164379149234,1.74835620850766,7.121520264,0.0501235274923397
233,"Estonia",15,1,9.08,1.0967833569819,9.95879288139569,-0.87879288139569,9.729261595,0.229531286395689
246,"Finland",15,1,9.17,1.07978351948337,9.9016148736625,-0.731614873662503,9.947231079,-0.0456162053374971
250,"France",15,1,9.73,1.01304322795087,9.85691060796194,-0.126910607961941,10.00988434,-0.152973732038058
268,"Georgia",15,1,10.46,0.949735760935886,9.93423605938937,0.525763940610631,10.15785633,-0.223620270610629
276,"Germany",15,1,9.1,1.08933166822148,9.91291818081549,-0.812918180815492,9.700294228,0.212623952815491
288,"Ghana",15,1,7.47,0.553325100184856,4.13333849838088,3.33666150161912,5.19850297,-1.06516447161912
300,"Greece",15,1,9.62,0.995736542881746,9.5789855425224,0.041014457477603,9.738357963,-0.159372420477604
348,"Hungary",15,1,8.96,1.04041526126163,9.32212074090419,-0.362120740904192,9.226632981,0.0954877599041932
372,"Ireland",15,1,11.5,0.983960155597088,11.3155417893665,0.184458210633485,11.86461966,-0.549077870633486
376,"Israel",15,1,10.56,0.950912088502611,10.0416316545876,0.518368345412423,10.4588136,-0.417181945412421
380,"Italy",15,1,9.27,1.00259516969927,9.29405722311228,-0.0240572231122762,9.352894369,-0.0588371458877237
392,"Japan",15,1,9.94,1.16050284118897,11.5353982414184,-1.59539824141836,11.28743184,0.24796640141836
398,"Kazakhstan",15,1,9.87,0.924466301226111,9.12448239310172,0.745517606898284,9.330590773,-0.206108379898286
40,"Austria",15,1,10.1,1.00664102617072,10.1670743643242,-0.0670743643242435,10.32571924,-0.158644875675757
404,"Kenya",15,1,7.03,0.615165000638604,4.32460995448939,2.70539004551061,4.840375288,-0.515765333510611
410,"South Korea",15,1,9.88,1.03186709985857,10.1948469466027,-0.314846946602653,11.01514654,-0.820299593397346
440,"Lithuania",15,1,8.97,1.0675379113054,9.57581506440947,-0.605815064409471,9.409260078,0.166554986409471
484,"Mexico",15,1,8.94,0.891877372003948,7.97338370571529,0.966616294284707,7.916352538,0.0570311677152926
51,"Armenia",15,1,9.9,0.977211774373514,9.67439656629779,0.225603433702211,9.977495438,-0.303098871702211
528,"Netherlands",15,1,8.97,1.11791555586289,10.0277025360901,-1.05770253609014,9.817300741,0.210401795090142
554,"New Zealand",15,1,12.6,1.00137596423089,12.6173371493092,-0.0173371493091601,13.19247715,-0.57514000069084
56,"Belgium",15,1,9.13,1.04859433006757,9.57366623351689,-0.443666233516893,9.640561304,-0.0668950704831062
578,"Norway",15,1,10.84,1.02746528586377,11.1377236987632,-0.297723698763241,11.05865755,0.0790661487632409
604,"Peru",15,1,9.22,0.782772722311931,7.217164499716,2.002835500284,7.389557589,-0.172393089283998
616,"Poland",15,1,9.22,1.07409808063168,9.90318430342405,-0.683184303424046,9.816941332,0.0862429714240456
643,"Russia",15,1,9.81,1.01004970978077,9.90858765294934,-0.0985876529493392,10.07832214,-0.169734487050659
68,"Bolivia",15,1,8.62,0.688835073570418,5.93775833417701,2.68224166582299,7.172486033,-1.23472769882299
702,"Singapore",15,1,9.48,1.02427995843706,9.71017400598333,-0.230174005983327,10.24621157,-0.536037564016672
703,"Slovakia",15,1,9.59,1.03293910348041,9.90588600237715,-0.315886002377146,9.994056601,-0.0881705986228543
704,"Viet Nam",15,1,8.79,1.03562234778923,9.10312043706735,-0.313120437067347,9.321159322,-0.218038884932653
705,"Slovenia",15,1,10.37,1.00722831863587,10.444957664254,-0.0749576642539527,10.54511452,-0.100156855746048
724,"Spain",15,1,10.21,1.01824998724995,10.396332369822,-0.186332369821972,10.13322539,0.263106979821973
752,"Sweden",15,1,10.2,1.03827668482738,10.5904221852393,-0.390422185239325,10.60794118,-0.0175189947606746
792,"Turkey",15,1,8.72,0.900881023430254,7.85568252431181,0.864317475688186,7.850768238,0.00491428631181456
804,"Ukraine",15,1,9.87,1.02095206528693,10.076796884382,-0.206796884382019,10.2208089,-0.144012015617982
826,"United Kingdom",15,1,11.3,0.958330381272368,10.8291333083778,0.470866691622243,11.25516753,-0.426034221622242
840,"USA",15,1,9.97,1.00196824671089,9.98962341970757,-0.0196234197075729,10.02488212,-0.0352587002924256
124,"Canada",15,2,9.55,1.02999564272184,9.83645838799354,-0.286458387993536,9.984383792,-0.147925404006463
152,"Chile",15,2,9.23,0.895425043426319,8.26477315082493,0.965226849175073,8.412580766,-0.147807615175072
170,"Colombia",15,2,8.79,0.689887703694437,6.0641129154741,2.7258870845259,8.513067195,-2.4489542795259
196,"Cyprus",15,2,10.25,0.996080447197022,10.2098245837695,0.0401754162305235,10.35035129,-0.140526706230524
203,"Czechia",15,2,9.97,1.04169318844469,10.3856810887936,-0.415681088793566,10.37672162,0.00895946879356657
208,"Denmark",15,2,9.79,1.05831632601821,10.3609168317182,-0.570916831718247,10.27114153,0.0897753017182463
218,"Ecuador",15,2,9.11,0.78394778937144,7.14176436117382,1.96823563882618,7.088299368,0.0534649931738223
233,"Estonia",15,2,9.21,1.10668766096775,10.192593357513,-0.98259335751295,9.950995002,0.24159835551295
246,"Finland",15,2,9.17,1.16679533510249,10.6995132228898,-1.52951322288984,10.25013572,0.449377502889844
250,"France",15,2,9.86,1.02363431778479,10.093034373358,-0.233034373358024,10.22425658,-0.131222206641977
268,"Georgia",15,2,10.56,0.987467957809082,10.4276616344639,0.132338365536089,10.56506439,-0.137402755536089
276,"Germany",15,2,9.34,1.0510948019432,9.81722545014953,-0.477225450149527,9.673292163,0.143933287149528
288,"Ghana",15,2,7.29,0.440234681341379,3.20931082697865,4.08068917302135,3.993095076,-0.783784249021347
300,"Greece",15,2,9.69,0.963843669709688,9.33964515948688,0.350354840513122,9.459679494,-0.120034334513122
