iso,year,c_exp_
140,2015,472.4514
144,1970,339.0523
144,1975,331.2093
144,1980,392.7199
144,1985,535.8257
144,1990,679.9387
144,1995,947.499
144,2000,6921.571
144,2005,1149.817
144,2010,1197.782
144,2015,2279.217
148,1970,135.4108
148,1975,107.6822
148,1980,366.2435
148,1985,633.5424
148,1990,249.7708
148,1995,74.18163
148,2000,86.97768
148,2005,146.1909
148,2010,215.1841
148,2015,237.2165
152,1970,1793.779
152,1975,1672.729
152,1980,2846.796
152,1985,1859.417
152,1990,2319.451
152,1995,4096.229
152,2000,6160.54
152,2005,7129.618
152,2010,10761.62
152,2015,14270.64
156,1970,4156.378
156,1975,6205.052
156,1980,9676.617
156,1985,14958.86
156,1990,25175.12
156,1995,39353.81
156,2000,2826.489
156,2005,3339.171
156,2010,46204.16
156,2015,47330.48
170,1970,1464.942
170,1975,1490.996
170,1980,2253.357
170,1985,2946.795
170,1990,1251.489
170,1995,6687.973
170,2000,6793.304
170,2005,8950.129
170,2010,12397.99
170,2015,13950.47
174,1970,209.3517
174,1975,197.4945
174,1980,262.977
174,1985,388.6681
174,1990,737.8761
174,1995,13.24688
174,2000,16.07795
174,2005,36.25768
174,2010,25.73058
174,2015,25.31095
178,1970,86.04391
178,1975,162.3624
178,1980,166.2704
178,1985,633.5424
178,1990,262.2741
178,1995,198.6513
178,2000,147.5088
178,2005,108.0116
178,2010,416.8701
178,2015,411.2078
180,1970,135.4108
180,1975,107.6822
180,1980,499.6077
180,1985,235.9653
180,1990,249.7708
180,1995,290.6463
180,2000,323.4345
180,2005,421.6706
180,2010,553.2115
180,2015,688.6384
188,1970,241.9279
188,1975,224.6844
188,1980,792.3777
188,1985,695.1411
188,1990,3962.534
188,1995,1098.575
188,2000,1576.908
188,2005,2106.094
188,2010,3266.189
188,2015,4072.969
191,1970,8582.053
191,1975,12134.57
191,1980,16885.87
191,1985,19552.84
191,1990,14871.88
191,1995,14854.39
191,2000,1792.015
191,2005,2331.111
191,2010,2227.284
191,2015,15974.45
192,1970,1029.026
192,1975,1143.609
192,1980,3215.529
192,1985,145.4076
192,1990,2854.207
192,1995,2952.823
192,2000,4858.336
192,2005,8780.756
192,2010,10583.17
192,2015,174.4503
196,1970,3309.508
196,1975,152.9709
196,1980,219.5555
196,1985,282.6527
196,1990,416.3783
196,1995,598.6247
196,2000,976.976
196,2005,1373.415
196,2010,1359.454
196,2015,1311.311
203,1970,995.8151
203,1975,995.8151
203,1980,995.8151
203,1985,4849.926
203,1990,4849.926
203,1995,5158.583
203,2000,5633.234
203,2005,7148.758
203,2010,7781.3
203,2015,11625.9
204,1970,924.6931
204,1975,914.3916
204,1980,317.1434
204,1985,129.3977
204,1990,236.9456
204,1995,113.1306
204,2000,158.128
204,2005,223.9541
204,2010,348.8935
204,2015,390.5165
208,1970,9313.842
208,1975,9591.578
208,1980,10108.33
208,1985,12410.59
208,1990,15311.03
208,1995,19613.46
208,2000,22720.88
