"cc","iso","year","wic_mys","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","adj_factor","qamys_piaac","qamys_dhs_full","HLO_reg_est","HLO_reg_low","HLO_reg_high","Illit_reg_est","Illit_reg_low","Illit_reg_high"
"Central African Republic",140,2015,5.85,9.10000000000001,0.550672034140654,0.412723553091797,0.0366044127675488,62.604179,NA,NA,NA,NA,NA,NA,NA,1.78493985274805,1.61417568748393,1.97376921399081
"Chad",148,2015,2.93,6.19999999999999,0.587412737162191,0.387960940511371,0.024626322326438,75.842728,300.46,NA,NA,0.88456788486,0.802100678966218,0.736230388469772,0.873864362669517,0.584823109533241,0.537618477743481,0.636172459844879
"Channel Islands",830,2015,12.06,73.7,0.200122025625381,0.62660158633313,0.173276388041489,0.2007187,NA,NA,NA,NA,NA,NA,NA,12.3825180689499,11.8343659616499,12.9560598535433
"Chile",152,2015,11.32,62.6,0.283323855798844,0.612477690259159,0.104198453941997,3.3617935,455.97,0.832871503808862,9.42810542311631,NA,10.3663501732348,9.87572469159789,10.8813499029141,10.2062522296212,9.81415665791142,10.6140128189899
"China",156,2015,8.64,31.8,0.234679165881684,0.668561457416526,0.09675937670179,3.159111,554.72,NA,NA,NA,7.87060340405021,6.86381697454063,9.02506552456444,7.6144586857645,6.97828613801084,8.30862763872586
"Colombia",170,2015,8.51,49.1,0.32725474708147,0.602364677857734,0.0703805750607962,5.3361993,413.67,0.880254915900342,7.49096933431191,NA,6.17891262205535,5.81852804783041,6.56161848446035,6.66268537862436,6.3473537461185,6.99368244312535
"Comoros",174,2015,7.18,24.9,0.506109324758842,0.464951768488746,0.0289389067524116,41.18298,297.43,NA,NA,4.2442661197,3.83010949995441,3.61996067700165,4.05245804874093,3.0836513945082,2.88965779123096,3.29066851850359
"Congo",178,2015,8.43,19.4,0.522590331298168,0.443739365428886,0.0336703032729457,19.701241,NA,NA,NA,6.8340281007,NA,NA,NA,5.12925867562417,4.82782840929811,5.44950904029555
"Costa Rica",188,2015,9.14,41.6,0.305689027561102,0.605283411336453,0.0890275611024441,2.1362076,422.54,NA,NA,NA,7.16911317913138,6.69071348448466,7.6817194301295,7.91860662288668,7.52034796336906,8.33795605648196
"Cote d'Ivoire",384,2015,4.64,12.2,0.53711085431355,0.434034044431749,0.0288551012547013,52.834648,259.79,NA,NA,2.09814302608,1.74841504150602,1.6554732056442,1.84657483246607,1.48806298283309,1.40697074881698,1.5738290527646
"Croatia",191,2015,12.03,84.7,0.205315834198848,0.605868189972618,0.188815975828534,0.87464142,491.55,NA,NA,NA,11.5617980487723,10.9151813511491,12.2467203997963,12.1308715921877,11.5490588276273,12.7419946319886
"Cuba",192,2015,11.25,59.7,0.223994276690601,0.636953733674173,0.139051989635226,0.24746704,507.91,NA,NA,NA,11.0972420384908,10.4169003641959,11.8220177361131,11.1434739084525,10.6122419061616,11.7012985424185
"Curaçao",531,2015,10.55,48.6,0.25506329113924,0.589873417721519,0.15506329113924,3.6,NA,NA,NA,NA,NA,NA,NA,9.95797692408667,9.39852424454571,10.5507313531898
"Cyprus",196,2015,13.01,82.9,0.236109914721337,0.635541390300629,0.128348694978034,1.3215714,518,1.0262772292919,13.3518667530876,NA,13.756793252923,13.0883124456601,14.4594164747664,12.6673856919436,12.1033232064554,13.2577357087244
"Czech Republic",203,2015,13.02,90.7,0.194301129021609,0.625725092198715,0.179973778779676,0.2007187,516.2,1.04368984090454,13.5888417285771,NA,13.5963883815757,12.9110102329067,14.318149679061,13.4337654420628,12.8219981776898,14.074721541169
"Democratic People's Republic of Korea",408,2015,11.01,99.9,0.288466947403449,0.614560018381261,0.0969730342152905,0.2007187,NA,NA,NA,NA,NA,NA,NA,9.58914585331035,8.82653313324896,10.41764833462
"Democratic Republic of the Congo",180,2015,6.74,21.7,0.566317919697204,0.403504880795206,0.0301771995075896,22.957321,340.17,NA,NA,4.5846735662,3.40729254262245,3.17418942148353,3.6575140703432,3.56226623456247,3.36135973360729,3.77518079931472
"Denmark",208,2015,12.6,78.5,0.231779348170024,0.577734416200823,0.190486235629153,0.2007187,534.18,1.03157340656577,12.9978249227287,NA,12.8243062123312,12.0759861533342,13.6189978805357,13.0318890563517,12.3463024263942,13.7555461150856
"Djibouti",262,2015,4.08,14.6,0.42478162406988,0.534239189043459,0.0409791868866602,19.05152361,NA,NA,NA,NA,NA,NA,NA,2.07658675843146,1.92251632270657,2.24300439708206
"Dominican Republic",214,2015,8.79,41.4,0.392162077448401,0.5413124626008,0.0665254599507993,7.1151657,337.71,NA,NA,7.4511111555,5.86523443094726,5.51284038056359,6.24015435876856,6.68543545860576,6.44864986967661,6.93091548997754
"Ecuador",218,2015,9.4,43.5,0.383057124455014,0.549915774871185,0.067027100673801,6.1214423,414.71,0.742226858236727,6.97693246742524,NA,7.07034272018799,6.769756743578,7.38427510387831,7.4111627049201,7.14070623164387,7.69186280138488
"Egypt",818,2015,8.64,60.6,0.418119313989346,0.531250933006905,0.0506297530037491,28.831749,397.83,NA,NA,5.97624029856,5.74854974578013,5.41335392380242,6.10450095169408,4.62337229996334,4.34505910517451,4.91951223370292
"El Salvador",222,2015,8.04,33.4,0.389694934583584,0.530997560743815,0.0793075046726011,11.599268,363.87,NA,NA,NA,5.19183247828935,4.92969652398615,5.46790747695444,5.72370818567773,5.51395373027112,5.94144183962593
"Equatorial Guinea",226,2015,7.44,17.2,0.458443215652914,0.512632922160783,0.0289238621863037,5.6294632,NA,NA,NA,NA,NA,NA,NA,5.38433590392299,5.0637702791285,5.72519516648842
"Eritrea",232,2015,3.78,15.1,0.522655992076593,0.440801419610432,0.0365425883129746,23.429482,NA,NA,NA,NA,NA,NA,NA,1.6955856462708,1.57207071169901,1.82880494016227
"Estonia",233,2015,13.27,84.7,0.20556484719477,0.60620343621712,0.18823171658811,0.11421204,542.42,1.04940514012094,13.9256062094049,NA,14.304873742804,13.5734050436696,15.0757611770377,13.9548090628971,13.2989422290182,14.6430214244409
"Ethiopia",231,2015,3.18,9.3,0.534015877514599,0.431172566571092,0.0348115559143091,48.228821,NA,NA,NA,1.27658612604,NA,NA,NA,0.968387169136407,0.915098302254195,1.02477920354346
"Fiji",242,2015,11.52,49.1,0.373276538504652,0.568434032059186,0.0582894294361619,0.91789246,NA,NA,NA,NA,NA,NA,NA,10.2929051856882,9.79487064840582,10.8162630181145
"Finland",246,2015,13.03,86.4,0.219145598482361,0.578216774287695,0.202637627229944,0.2007187,531.13,1.09531804382604,14.2719941110533,NA,13.4023566185907,12.5477608352031,14.3151567272421,13.6434048848555,12.8573201248525,14.4775501461068
"France",250,2015,12.14,79.9,0.241626742295424,0.568982797353821,0.189390460350755,0.401437399,499.18,0.995757531476316,12.0884964321225,NA,11.55010866451,10.8722045239205,12.270281511765,12.2845475921547,11.6216276133023,12.9852818009055
"French Guiana",254,2015,8.54,46.5,0.430431547619048,0.521577380952381,0.0479910714285714,9,NA,NA,NA,NA,NA,NA,NA,6.04367846975104,5.80591912575744,6.29117434372926
"French Polynesia",258,2015,10.91,66.5,0.323730644580483,0.603889088944904,0.0723802664746129,9,NA,NA,NA,NA,NA,NA,NA,8.60117989626661,8.16675982378444,9.05870837446261
"Gabon",266,2015,8.76,21.7,0.45215769569497,0.502719784489458,0.0451225198155727,15.33284,324.76,NA,NA,7.4887081974,5.74153697511501,5.33284110603519,6.18155429369647,5.91301340764772,5.60221900893331,6.24104975247638
"Gambia",270,2015,4.38,18.3,0.564775485436893,0.411913430420712,0.0233110841423948,49.222031,267.32,NA,NA,2.20741862052,1.54747345201376,1.46076698272504,1.6393265407876,1.41152186805866,1.34430582853664,1.48209874696195
"Georgia",268,2015,12.65,94,0.246868277869164,0.606984689358471,0.146147032772365,0.63574219,459.68,0.931805962282418,11.7873454228726,NA,11.9675490126144,11.1734527404555,12.8180816347634,12.2096205512736,11.6114357824249,12.8386219240624
"Germany",276,2015,13.73,86,0.18139004918741,0.607434532034234,0.211175418778356,0.2007187,524.26,1.0262772292919,14.0907863581778,NA,14.9697975508973,14.0321694112142,15.9700779079648,14.9479868121643,14.0956726238046,15.851837347534
"Ghana",288,2015,7.58,23.4,0.492261846498526,0.47387444216052,0.0338637113409537,20.960358,336.16,0.505163448017389,3.82913893597181,3.4723669599,4.39730270802109,4.17466232868063,4.63181679943936,4.40261414045006,4.21789749822222,4.59542017743686
"Greece",300,2015,11.78,73,0.195287846101731,0.605234537966446,0.199477615931823,2.0640488,477.87,0.965580751613714,11.3745412540095,NA,11.2565435425208,10.4786427682505,12.092193171103,11.9746261964466,11.3057564915167,12.6830674844465
"Grenada",308,2015,10.62,56.4,0.35607476635514,0.57196261682243,0.0719626168224299,1.4000015,NA,NA,NA,NA,NA,NA,NA,9.22602737978099,8.85992883462529,9.60725337655248
"Guadeloupe",312,2015,10.14,59.7,0.270426287744227,0.565719360568384,0.163854351687389,4,NA,NA,NA,NA,NA,NA,NA,9.23454641762792,8.78858760828358,9.70313448988641
"Guam",316,2015,10.28,47.3,0.341779975278121,0.569221260815822,0.0889987639060569,9,NA,NA,NA,NA,NA,NA,NA,8.24497931862825,7.9393030034275,8.5624246782444
"Guatemala",320,2015,6.2,22.9,0.474729886047599,0.48019369446974,0.045076419482661,21.136856,389.02,NA,NA,4.9334662754,3.29723504740809,3.13257232107565,3.47055322065898,3.41739109879528,3.29875423563684,3.54029463485346
"Guinea",324,2015,4.23,15.7,0.533294184786654,0.436153407164184,0.0305524080491618,71.344208,NA,NA,NA,1.14146470053,NA,NA,NA,1.02245515075514,0.930735830316586,1.12321294749136
"Guinea-Bissau",624,2015,4.07,13.8,0.522139387778154,0.449056816898227,0.0288037953236191,54.418839,NA,NA,NA,NA,NA,NA,NA,1.22769359859055,1.16176126878263,1.29736772306034
"Guyana",328,2015,10.06,54.1,0.407624251886547,0.542024460057247,0.0503512880562061,14.360268,NA,NA,NA,8.99645340978,NA,NA,NA,6.97797968538657,6.66245418124912,7.30844808309639
"Haiti",332,2015,5.71,23.7,0.441994882999981,0.511690664276243,0.0463144527237754,38.308651,NA,NA,NA,3.92517063817,NA,NA,NA,2.46070414078873,2.34821497559032,2.57858200013081
"Honduras",340,2015,5.91,17.7,0.438967502901527,0.516884653155968,0.0441478439425051,11.966817,363.71,NA,NA,5.41178850114,3.09176094149324,2.91913253200967,3.27459805765048,3.70779178110564,3.50601925543458,3.92117637994275
"Hong Kong Special Administrative Region of China",344,2015,12.54,67,0.161366020650433,0.686433659102203,0.152200320247363,2.878171591,605.4,NA,NA,NA,15.0476651378153,13.6767760863088,16.5559649928386,12.7061663205984,11.8737458645634,13.5969444190765
"Hungary",348,2015,12.41,83.5,0.196871965244058,0.628142090467672,0.17498594428827,0.90000153,522.5,1.00490201022256,12.470833946862,NA,12.7643792564478,12.1761065517301,13.3810735895115,12.5725088827033,12.032794804694,13.1364310761779
"Iceland",352,2015,13.57,69.7,0.269452013321223,0.593399939448986,0.137148047229791,0.401437399,511.8,NA,NA,NA,14.5261471036525,13.8838647032342,15.1981421734684,13.7710543031507,13.2340657068237,14.3298318764234
"India",356,2015,6.94,35.6,0.380775689050946,0.562864359525486,0.0563599514235678,25.627007,378.54,NA,NA,5.0458021602,4.16972959843827,3.94717478041206,4.40483279594656,3.82908907908711,3.65762299299379,4.00859334154154
"Indonesia",360,2015,9.06,39.6,0.365713617303776,0.583339724178854,0.0509466585173703,4.5821786,396.71,NA,NA,8.58471725616,6.74637619197584,6.32168543135882,7.19959767341279,7.21161954500448,6.85291682098387,7.58909787182035
"Iran (Islamic Republic of)",364,2015,9.19,47.1,0.305504068103723,0.644150234434164,0.0503456974621131,14.45575,433.92,NA,NA,NA,7.43054375322322,6.78530889580872,8.137135879351,6.50354313486967,6.02265639524988,7.02282689420399
"Iraq",368,2015,7.82,26.4,0.511901103312707,0.457363954760026,0.0307349419272672,15.549999,NA,NA,NA,NA,NA,NA,NA,4.86297006176207,4.63154529169784,5.10595845062438
"Ireland",372,2015,12.63,78.6,0.274823939916172,0.592881002531861,0.132295057551967,0.401437399,535.42,1.01534195679119,12.8237689142727,NA,12.908810875844,12.2592846901594,13.5927505103189,12.2675524693687,11.829927238046,12.7213667979898
"Israel",376,2015,11.86,65.6,0.356041720926195,0.531706167603031,0.112252111470774,1.571621687,514.24,0.968285993242811,11.4838718798597,NA,10.994070647577,10.2800896904087,11.7576395774722,10.8264548360944,10.3761883322499,11.2962602995252
"Italy",380,2015,11.94,62.1,0.184129240862861,0.592241918244701,0.223628840892438,0.84423828,500.75,0.949501709818236,11.3370504152297,NA,11.896957063783,10.791287102104,13.1159134251834,12.9030465098081,11.8702708263612,14.025679082615
"Jamaica",388,2015,10.39,34.7,0.33098861301668,0.575965456001671,0.0930459309816485,11.900002,NA,NA,NA,NA,NA,NA,NA,8.26804451357068,7.78523147511811,8.78079994112818
"Japan",392,2015,13.81,93.6,0.176665575284651,0.563174999589755,0.260159425125594,0.2007187,590.89,1.12900020720803,15.5914928615429,NA,15.3948797639726,13.817877396813,17.1518617614769,15.468783771239,14.0904303007783,16.9819704759571
"Jordan",400,2015,9.97,53.2,0.460936305871564,0.501430224687207,0.0376334694412298,1.7728882,387.01,NA,NA,9.20481262952,7.15878176570454,6.70078257483208,7.6480852492469,7.93712896467017,7.47488505995462,8.4279578477142
"Kazakhstan",398,2015,11.31,91.4,0.331415789592301,0.60104009375493,0.0675441166527687,0.21836853,536.11,0.949768423781668,10.7418808729707,NA,10.4095237191502,9.30801734231688,11.6413818404618,9.68887959131903,8.93025398214654,10.5119504913022
"Kenya",404,2015,8.28,32.5,0.522831862153638,0.451366397832391,0.0258017400139709,18.465027,355.93,0.650944385272043,5.38981951005251,6.6399029406,5.01916987131393,4.71187080485757,5.34651038630652,4.95518012279887,4.70812741030418,5.21519659719546
"Kiribati",296,2015,9.43,43.8,0.455111111111111,0.507555555555556,0.0373333333333333,9,NA,NA,NA,NA,NA,NA,NA,6.80380004122974,6.49577801413699,7.12642810457677
"Kuwait",414,2015,8.05,32.6,0.264310576996367,0.715058817551259,0.0206306054523743,4.0740433,372.3,NA,NA,NA,6.07339471407094,5.14278170251653,7.17240697478084,6.38114503966664,5.65247976086405,7.20374308974751
"Kyrgyzstan",417,2015,10.86,86.9,0.39841445742051,0.558792941778194,0.0427926008012957,0.41400146,362.14,NA,NA,NA,8.04923808442624,7.14729402708643,9.0650018726303,8.81927375863305,8.05933024912223,9.65087510071756
"Lao People's Democratic Republic",418,2015,6.48,26,0.444307729243882,0.5168434794352,0.0388487913209189,15.338959,NA,NA,NA,NA,NA,NA,NA,3.92663016174178,3.76849634172834,4.09139960051785
"Latvia",428,2015,12.59,86.9,0.195042400521853,0.612123036780571,0.192834562697576,0.11068726,508.22,NA,NA,NA,12.7132624382216,12.0181522841994,13.4485766198513,13.0653971984397,12.4296247330514,13.7336892801823
"Lebanon",422,2015,10.39,46.1,0.335190375281974,0.583378904914895,0.0814307198031308,4.9305573,454.42,NA,NA,NA,8.92838706476127,8.45176353370097,9.43188900876516,8.82309282922082,8.45604091125607,9.20607739366819
"Lesotho",426,2015,7.61,19.4,0.471537612654037,0.484044509839985,0.0444178775059776,23.364799,323.52,NA,NA,6.33551333989,4.4549479949079,4.19085210100119,4.73568648070224,4.38234483576011,4.17829353675746,4.59636119161154
"Liberia",430,2015,4.87,21,0.529556869194186,0.440197342104094,0.0302457887017201,51.698639,273.71,NA,NA,1.82709478429,1.90487231124785,1.80933405056665,2.0054552784337,1.59482213694524,1.50861403541769,1.68595650628848
"Libyan Arab Jamahiriya",434,2015,8.17,39.5,0.372054979070103,0.58472197719363,0.0432230437362673,9.276357668,NA,NA,NA,NA,NA,NA,NA,5.85264927679748,5.55647394547621,6.16461156721261
"Lithuania",440,2015,13.48,89.8,0.203785811732606,0.609379263301501,0.186834924965894,0.18440247,523.24,1.01377977500537,13.6657513670724,NA,14.3570771666411,13.6171170283327,15.1372470648529,14.1129403798398,13.447378475149,14.8114434745027
"Luxembourg",442,2015,13.17,73.8,0.223672605397777,0.63644381725172,0.139883577350503,0.2007187,508.88,NA,NA,NA,14.1919552520269,13.5271930414248,14.8893856440686,13.446502604372,12.8844561041277,14.0330667300312
"Macao Special Administrative Region of China",446,2015,11.34,59.4,0.17640206357131,0.7375603261774,0.0860376102512897,3.4615097,561.9,NA,NA,NA,12.7353027735058,11.1607327213566,14.5320151267945,10.559617685082,9.52323229856663,11.7087898477368
"Madagascar",450,2015,4.48,7,0.527992803736775,0.443667783517916,0.0283394127453084,25.195679,367.58,NA,NA,2.41470138112,1.84290984032131,1.71470681609031,1.98069818565077,2.08523332103797,1.9738233856204,2.20293164770684
"Malawi",454,2015,6.16,14.6,0.559350102435693,0.410602094240838,0.0300478033234692,37.856461,322.77,NA,NA,3.7188892972,2.92934586268084,2.75438334578068,3.11542225825258,2.62270324721458,2.48442424710211,2.76867863086316
"Malaysia",458,2015,11.61,63.3,0.343957792915797,0.597418363726904,0.0586238433572989,5.4427466,474.05,NA,NA,NA,10.7495000410219,10.0568294704251,11.4898787407843,9.67363010939212,9.1533102039988,10.2235275990598
"Maldives",462,2015,7.4,12.6,0.308795411089866,0.650095602294455,0.0411089866156788,2.2650528,NA,NA,NA,6.768926705,NA,NA,NA,6.02869598141474,5.43569116633704,6.68639444812649
"Mali",466,2015,2.25,6.5,0.584563516367778,0.390102058922858,0.0253344247093639,65.728668,170.91,NA,NA,0.59039812125,0.456069577050957,0.408873151154182,0.508713909251049,0.472407041965694,0.435309833509054,0.512665683427837
"Malta",470,2015,11.17,48.3,0.200374093991115,0.61585223287351,0.183773673135375,5.4968109,498,NA,NA,NA,10.9750218402888,9.95542465874833,12.0990423335653,10.9370559619361,10.1144194891815,11.8265999588477
"Martinique",474,2015,10.97,62.4,0.244882093806686,0.577092511013216,0.178025395180098,3.0999985,NA,NA,NA,NA,NA,NA,NA,10.5474736708075,9.98707280431914,11.139320100707
"Mauritania",478,2015,4.22,11.7,0.505295369241435,0.463697434794042,0.0310071959645222,46.502411,NA,NA,NA,NA,NA,NA,NA,1.4499520651915,1.38507847955051,1.51786416610513
"Mauritius",480,2015,9.34,40.7,0.269032309279987,0.631420179407795,0.0995475113122172,7.6030555,444.73,NA,NA,NA,7.7863156582398,7.14705457089072,8.48275480876796,7.75223727355516,7.28682794841389,8.24737226828296
"Mayotte",175,2015,10.14,57.9,0.520833333333333,0.441666666666667,0.0375,32.33314817,NA,NA,NA,NA,NA,NA,NA,5.21322617503343,4.77910416319821,5.68678275760079
"Mexico",484,2015,9.32,35.7,0.368141081191425,0.567043670068143,0.0648152487404316,5.0788517,443.36,0.83938694491556,7.82308632661302,NA,7.34553815707492,6.8958063899294,7.82460060013314,7.5570268348039,7.20672592478893,7.92435499531209
"Micronesia (Federated States of)",583,2015,9.72,50.3,0.46551724137931,0.491379310344828,0.0431034482758621,9,NA,NA,NA,NA,NA,NA,NA,7.01105290027857,6.66455330064426,7.37556750664037
"Mongolia",496,2015,10.48,73.9,0.364631975005879,0.59653307353781,0.0388349514563107,1.5768814,438.28,NA,NA,NA,8.548174875121,7.82810845187524,9.33447641213321,8.54376854326621,7.9223941553979,9.21387897257922
"Montenegro",499,2015,11.97,83.2,0.251034702324101,0.609996816300541,0.138968481375358,1.1528168,441.38,NA,NA,NA,10.923826085511,10.282919765913,11.6046783465198,11.3854106105829,10.9401793981469,11.8487613460463
"Morocco",504,2015,5.66,22.6,0.361612440700077,0.574422660831736,0.0639648984681871,26.249992,380.75,NA,NA,2.60999383032,3.04909103745473,2.80982511471018,3.30873124665829,2.99706301246397,2.82549059450331,3.17905383162623
"Mozambique",508,2015,2.93,7.8,0.560119532153721,0.408551475943619,0.0313289919026606,41.652786,322.74,NA,NA,1.11999898116,0.831496392049628,0.760963416316284,0.908567002259387,0.939262693994797,0.874645150765052,1.00865408967133
"Myanmar",104,2015,6.36,17.2,0.371228804018029,0.575586121617135,0.0531850743648361,24.448799,NA,NA,NA,5.13372856536,NA,NA,NA,3.57418357290864,3.35025935289616,3.81307441222625
"Namibia",516,2015,8.43,28.8,0.480169854881267,0.48503463060686,0.0347955145118734,8.4727325,325.14,NA,NA,7.28760663639,5.22458247685648,4.92485990212917,5.54254589976758,5.97948327848298,5.68240525176027,6.29209264273817
"Nepal",524,2015,5.62,31.5,0.438975794098045,0.506265200657401,0.0547590052445539,32.091568,189.48,NA,NA,3.96527467618,2.35817948753539,2.08418379113819,2.66819582758379,2.60646882661389,2.52120788970502,2.69461307488803
