PIAAC_Literacy,PIAAC_Numeracy,Age,PISA_year,country,sex,PISA_read_adj,PISA_math_adj
272.3185759,266.1288609,20-24,2006,IRL,Male,272.6422893,260.1265657
275.2797221,259.9884726,20-24,2006,IRL,Female,287.1418944,254.2501556
275.2138396,267.2039142,25-29,2000,IRL,Male,278.2659757,261.5976137
274.2839638,258.1413507,25-29,2000,IRL,Female,290.7443058,254.9939554
264.1592752,258.2834383,16-19,2009,ITA,Male,257.0177447,251.2759691
266.3323154,254.6461803,16-19,2009,ITA,Female,276.643592,243.7922609
248.403335,241.3740641,20-24,2003,ITA,Male,253.3288858,243.5421171
263.9544034,248.3181338,20-24,2003,ITA,Female,270.2200106,234.4053462
248.403335,241.3740641,20-24,2006,ITA,Male,250.0911121,241.0564907
263.9544034,248.3181338,20-24,2006,ITA,Female,267.8122455,232.5442297
262.5076219,271.5722139,25-29,2000,ITA,Male,258.0989695,236.9918808
265.6715814,260.7530946,25-29,2000,ITA,Female,276.0095047,232.6663405
297.3086748,279.5998255,16-19,2009,JPN,Male,272.9838744,273.5983791
292.7492632,269.9439413,16-19,2009,JPN,Female,289.6892031,268.7681391
304.2712397,293.5073775,20-24,2003,JPN,Male,266.7771965,276.1498363
300.802477,284.7898474,20-24,2003,JPN,Female,276.4007438,271.8337763
304.2712397,293.5073775,20-24,2006,JPN,Male,265.1210778,273.2853269
300.802477,284.7898474,20-24,2006,JPN,Female,278.2483969,263.1703821
309.509328,302.4153336,25-29,2000,JPN,Male,276.3919457,287.528327
308.9661243,294.478638,25-29,2000,JPN,Female,290.0843394,283.3391555
291.8998309,281.8462209,16-19,2009,KOR,Male,282.2056841,280.9101288
292.7122759,279.6231823,16-19,2009,KOR,Female,297.4373598,279.1844581
295.3118556,283.9218932,20-24,2003,KOR,Male,283.4822524,282.90644
292.2087559,279.022024,20-24,2003,KOR,Female,292.6069963,270.9089963
295.3118556,283.9218932,20-24,2006,KOR,Male,289.182787,283.0642747
292.2087559,279.022024,20-24,2006,KOR,Female,304.2199684,278.319336
293.0960888,286.943101,25-29,2000,KOR,Male,279.1916337,286.4358985
291.1679323,281.2476302,25-29,2000,KOR,Female,285.9444218,272.8289168
286.5522128,285.0478538,16-19,2009,NLD,Male,270.8996769,274.0607205
289.0871467,277.8534742,16-19,2009,NLD,Female,281.3492924,265.2703993
299.6651555,293.1816054,20-24,2003,NLD,Male,273.7775946,277.0716903
300.6491678,283.5654533,20-24,2003,NLD,Female,282.7529691,274.4495412
299.6651555,293.1816054,20-24,2006,NLD,Male,270.3528962,275.3344411
300.6491678,283.5654533,20-24,2006,NLD,Female,280.7212162,268.7676516
298.5579578,296.5265647,25-29,2000,NLD,Male,282.835641,291.6371518
299.2455992,288.0372983,25-29,2000,NLD,Female,293.7702573,286.2337978
267.0965377,266.5583683,16-19,2009,NOR,Male,264.0113561,256.6030601
269.5256093,260.668098,16-19,2009,NOR,Female,284.3067115,254.0425185
283.1900731,284.29466,20-24,2003,NOR,Male,261.9598919,255.5129344
280.3541914,271.7844598,20-24,2003,NOR,Female,283.0811263,252.3237623
283.1900731,284.29466,20-24,2006,NOR,Male,256.2725206,252.7224069
280.3541914,271.7844598,20-24,2006,NOR,Female,275.9970728,249.560473
282.7557634,279.7287261,25-29,2000,NOR,Male,263.9420512,259.4206785
293.4292045,280.6060897,25-29,2000,NOR,Female,284.2458846,254.0267433
278.7707422,263.1554817,16-19,2009,POL,Male,262.0952055,254.6315989
284.2374145,266.3210277,16-19,2009,POL,Female,283.41626,252.8384385
278.9424022,272.4644584,20-24,2003,POL,Male,262.57482,252.8325393
284.2322449,270.0167692,20-24,2003,POL,Female,279.5544409,249.9672036
278.9424022,272.4644584,20-24,2006,POL,Male,267.1533473,256.3992728
284.2322449,270.0167692,20-24,2006,POL,Female,284.3789146,251.7445318
278.0041099,273.4859217,25-29,2000,POL,Male,253.8814235,242.2789825
283.8499879,267.7069174,25-29,2000,POL,Female,272.3547916,239.8451871
272.8478448,276.1109688,16-19,2009,SVK,Male,251.7460713,255.3714404
273.0023402,275.5157942,16-19,2009,SVK,Female,273.7787269,254.0392246
276.9740262,280.129156,20-24,2003,SVK,Male,252.4866009,260.1359243
279.7913396,278.9554931,20-24,2003,SVK,Female,266.4571525,250.5710854
276.9740262,280.129156,20-24,2006,SVK,Male,249.4068412,255.9259991
279.7913396,278.9554931,20-24,2006,SVK,Female,267.2889804,248.5752231
259.8453497,252.4486326,16-19,2009,ESP,Male,258.3002676,252.6984401
260.3595633,248.0453301,16-19,2009,ESP,Female,270.7139029,243.0206946
268.4873675,262.8831592,20-24,2003,ESP,Male,255.6534541,251.0715023
265.3107448,255.0038138,20-24,2003,ESP,Female,272.451663,246.5295554
268.4873675,262.8831592,20-24,2006,ESP,Male,248.2152319,248.2955165
265.3107448,255.0038138,20-24,2006,ESP,Female,263.4110368,243.9079881
265.5010076,262.1790288,25-29,2000,ESP,Male,264.7141347,249.6227883
261.7562487,248.743922,25-29,2000,ESP,Female,275.161034,240.3185582
272.2942887,269.9398312,16-19,2009,SWE,Male,261.8338999,253.0038546
269.5698792,259.6822356,16-19,2009,SWE,Female,281.3711234,253.9022391
291.1264193,292.2786777,20-24,2003,SWE,Male,270.7901365,262.7082218
291.7515014,283.2621346,20-24,2003,SWE,Female,286.5657386,259.360967
291.1264193,292.2786777,20-24,2006,SWE,Male,267.2171162,258.8896237
291.7515014,283.2621346,20-24,2006,SWE,Female,284.5907108,256.2581862
291.1185242,296.4556412,25-29,2000,SWE,Male,272.2072922,263.6501145
294.9991133,288.4089128,25-29,2000,SWE,Female,286.3107482,259.8112041
263.2553298,241.3595201,16-19,2009,USA,Male,267.3021395,254.997469
265.4859716,234.3663134,16-19,2009,USA,Female,277.9190064,244.6064351
275.632613,263.2977697,20-24,2003,USA,Male,263.653751,249.2043345
278.8269293,252.3980366,20-24,2003,USA,Female,277.3971612,246.0018051
279.2734954,271.171285,25-29,2000,USA,Male,267.3495167,254.7499396
277.6181822,252.1545139,25-29,2000,USA,Female,280.5275265,251.0831871
