"country","year","iso","cc","hlo_mean","edu_exp_","tp_","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","region","fit1","lwr1","upr1","fit2","lwr2","upr2","fit3","lwr3","upr3","fit4","lwr4","upr4","fit5","lwr5","upr5","hlo"
"Algeria",1970,12,"Algeria",NA,0.0393853,40.00059,1,0,0,0,0,0,0,0,0,0,"Northern Africa",327.345744274242,290.054048034014,364.63744051447,322.76408296213,273.049538690388,372.478627233872,384.289747085567,347.008382560586,421.571111610549,337.725001149385,286.232281854357,389.217720444414,336.227370197441,307.972111096428,364.482629298454,486.20001
"Algeria",1975,12,"Algeria",NA,0.0718201,39.35215,0,1,0,0,0,0,0,0,0,0,"Northern Africa",332.516406703882,294.675059576224,370.35775383154,321.389344930459,270.72688148213,372.051808378788,382.980972090414,344.467014341874,421.494929838954,334.669131858359,281.825216659472,387.513047057247,344.510255431231,314.829972471399,374.190538391063,486.20001
"Algeria",1980,12,"Algeria",NA,0.0659742,33.53637,0,0,1,0,0,0,0,0,0,0,"Northern Africa",339.092703999416,301.875972375195,376.309435623637,321.215384237763,271.152709280368,371.278059195157,392.01786156182,354.731740002863,429.303983120776,352.089208515704,300.96604372198,403.212373309428,358.834605602801,331.130151105487,386.539060100114,486.20001
"Algeria",1985,12,"Algeria",NA,0.0508133,27.9779,0,0,0,1,0,0,0,0,0,0,"Northern Africa",359.072017742238,324.598016058322,393.546019426154,336.854410588457,288.375282412707,385.333538764208,442.153250022799,410.627638136492,473.678861909105,370.184781307655,320.475622488189,419.893940127122,370.590663360716,344.482376824182,396.698949897251,219.3
"Algeria",1990,12,"Algeria",NA,0.0450366,27.68756,0,0,0,0,1,0,0,0,0,0,"Northern Africa",344.770124045239,313.762674889666,375.777573200813,327.518046909839,280.399983529533,374.636110290145,412.691998826216,389.120615378631,436.263382273801,371.88299722714,322.306272080542,421.459722373738,370.197456816647,344.141742109939,396.253171523354,219.3
"Algeria",1995,12,"Algeria",NA,0.0400918,27.5337,0,0,0,0,0,1,0,0,0,0,"Northern Africa",375.612250848392,346.515602391552,404.708899305233,365.107889843211,318.647738294091,411.568041392331,424.857793196766,407.15855100783,442.557035385702,373.06746772202,323.527840076331,422.607095367709,369.608477894479,343.469654329702,395.747301459256,340.81897
"Algeria",2000,12,"Algeria",NA,0.0400722,27.57514,0,0,0,0,0,0,1,0,0,0,"Northern Africa",360.787889311404,333.052095274379,388.52368334843,368.187586294703,321.976847518502,414.398325070904,412.915866356451,398.165326316244,427.666406396658,372.9525952709,323.410606380129,422.494584161671,369.494032930476,343.352082728338,395.635983132615,375.815
"Algeria",2005,12,"Algeria",390.17,0.0433702,24.01662,0,0,0,0,0,0,0,1,0,0,"Northern Africa",376.960565865863,350.117991722695,403.80314000903,377.128050485255,331.602315313509,422.653785657002,424.131014089329,411.308242197272,436.953785981386,382.572925390233,333.126715033259,432.019135747208,379.647931705701,353.699481764543,405.596381646858,390.17
"Algeria",2010,12,"Algeria",NA,0.0356564,23.33632,0,0,0,0,0,0,0,0,1,0,"Northern Africa",378.629458985209,351.131366454337,406.127551516081,382.372868974331,336.253804936883,428.491933011779,425.063685614001,410.832334231092,439.295036996911,385.672603241768,336.177970237219,435.167236246317,379.902981702404,353.65736277848,406.148600626329,379.65332
"Algeria",2015,12,"Algeria",375.14,0.0396937,24.15421,0,0,0,0,0,0,0,0,0,1,"Northern Africa",387.071048719259,359.979394034818,414.162703403699,388.181949514747,342.656214343,433.707684686493,430.463748690088,414.881906353282,446.045591026893,382.737074609769,333.290864252795,432.183284966744,378.538193090905,352.48626647205,404.59011970976,375.14
"Angola",1970,24,"Angola",NA,0.0350471,40.11174,1,0,0,0,0,0,0,0,0,0,"Middle Africa",333.999287165762,285.213239711619,382.785334619905,NA,NA,NA,383.569902872902,346.406117730526,420.733688015278,NA,NA,NA,NA,NA,NA,486.20001
"Angola",1975,24,"Angola",NA,0.0545101,50.13342,0,1,0,0,0,0,0,0,0,0,"Middle Africa",312.782978590827,265.503891489926,360.062065691727,NA,NA,NA,332.382604043186,293.616881963801,371.14832612257,NA,NA,NA,NA,NA,NA,486.20001
"Angola",1980,24,"Angola",NA,0.0384105,33.34781,0,0,1,0,0,0,0,0,0,0,"Middle Africa",341.121990679181,292.513795885565,389.730185472797,NA,NA,NA,391.575061923854,356.140624880658,427.009498967049,NA,NA,NA,NA,NA,NA,486.20001
"Angola",1985,24,"Angola",NA,0.0495714,32.09739,0,0,0,1,0,0,0,0,0,0,"Middle Africa",357.625611779389,309.42280898184,405.828414576938,NA,NA,NA,423.075737254983,391.189062681137,454.96241182883,NA,NA,NA,NA,NA,NA,219.3
"Angola",1990,24,"Angola",NA,0.0290529,29.52888,0,0,0,0,1,0,0,0,0,0,"Middle Africa",344.974674714105,299.467078683447,390.482270744762,NA,NA,NA,403.429654872803,379.378117764057,427.481191981548,NA,NA,NA,NA,NA,NA,219.3
"Angola",1995,24,"Angola",NA,0.0256712,41.75324,0,0,0,0,0,1,0,0,0,0,"Middle Africa",348.983955852524,308.498696647488,389.46921505756,NA,NA,NA,358.523725552904,338.053577492713,378.993873613096,NA,NA,NA,NA,NA,NA,351.95999
"Angola",2000,24,"Angola",NA,0.0260753,48.8688,0,0,0,0,0,0,1,0,0,0,"Middle Africa",318.717883361598,278.918735339235,358.517031383962,NA,NA,NA,313.943084277584,293.929976384816,333.956192170352,NA,NA,NA,NA,NA,NA,303.46768
"Angola",2005,24,"Angola",NA,0.0220079,41.0124,0,0,0,0,0,0,0,1,0,0,"Middle Africa",342.655482148522,303.708876164564,381.602088132481,NA,NA,NA,344.649203645583,327.153400936435,362.14500635473,NA,NA,NA,NA,NA,NA,316.20334
"Angola",2010,24,"Angola",NA,0.0342132,44.06479,0,0,0,0,0,0,0,0,1,0,"Middle Africa",340.656170614836,301.736359562558,379.575981667114,NA,NA,NA,329.298343722026,309.311548148673,349.285139295379,NA,NA,NA,NA,NA,NA,320.315
"Angola",2015,24,"Angola",NA,0.0315227,50.02951,0,0,0,0,0,0,0,0,0,1,"Middle Africa",336.262696748311,296.370754733349,376.154638763273,NA,NA,NA,310.616615594979,286.202890028897,335.030341161061,NA,NA,NA,NA,NA,NA,385.15424
"Antigua and Barbuda",1970,28,"Antigua and Barbuda",NA,0.0431306,25.30054,1,0,0,0,0,0,0,0,0,0,"Caribbean",373.458855530721,331.256382085194,415.661328976247,NA,NA,NA,452.333529600558,415.961722966276,488.70533623484,NA,NA,NA,NA,NA,NA,357.89798
"Antigua and Barbuda",1975,28,"Antigua and Barbuda",NA,0.0529002,24.10168,0,1,0,0,0,0,0,0,0,0,"Caribbean",374.683376605092,333.032926426696,416.333826783488,NA,NA,NA,452.485941844556,417.345925947678,487.625957741434,NA,NA,NA,NA,NA,NA,351.28867
"Antigua and Barbuda",1980,28,"Antigua and Barbuda",NA,0.0377674,24.72464,0,0,1,0,0,0,0,0,0,0,"Caribbean",365.00491253746,323.178567331243,406.831257743677,NA,NA,NA,431.354780757345,396.418546095092,466.291015419597,NA,NA,NA,NA,NA,NA,349.94931
"Antigua and Barbuda",1985,28,"Antigua and Barbuda",NA,0.0338099,24.19762,0,0,0,1,0,0,0,0,0,0,"Caribbean",376.480980662531,336.262717187225,416.699244137836,NA,NA,NA,458.795412472407,427.927399169269,489.663425775546,NA,NA,NA,NA,NA,NA,351.76135
"Antigua and Barbuda",1990,28,"Antigua and Barbuda",NA,0.0410541,21.63677,0,0,0,0,1,0,0,0,0,0,"Caribbean",370.127748825362,332.940870237729,407.314627412995,NA,NA,NA,440.436767659585,417.336076232548,463.537459086622,NA,NA,NA,NA,NA,NA,334.29367
"Antigua and Barbuda",1995,28,"Antigua and Barbuda",NA,0.0275397,20.41527,0,0,0,0,0,1,0,0,0,0,"Caribbean",401.36578709683,366.375940454647,436.355633739014,NA,NA,NA,457.123194088973,438.514351245002,475.732036932944,NA,NA,NA,NA,NA,NA,424.97501
"Antigua and Barbuda",2000,28,"Antigua and Barbuda",NA,0.0339428,18.74101,0,0,0,0,0,0,1,0,0,0,"Caribbean",391.770727075272,356.589761108873,426.951693041671,NA,NA,NA,453.408114492005,437.89346867038,468.92276031363,NA,NA,NA,NA,NA,NA,393.00339
"Antigua and Barbuda",2005,28,"Antigua and Barbuda",NA,0.0251724,18.28569,0,0,0,0,0,0,0,1,0,0,"Caribbean",398.38240744705,363.510392352672,433.254422541428,NA,NA,NA,449.721781474063,434.518964390558,464.924598557568,NA,NA,NA,NA,NA,NA,419.245
"Antigua and Barbuda",2010,28,"Antigua and Barbuda",NA,0.0495082,14.41729,0,0,0,0,0,0,0,0,1,0,"Caribbean",414.343431795088,380.092450891444,448.594412698732,NA,NA,NA,466.899927751948,452.777506018673,481.022349485223,NA,NA,NA,NA,NA,NA,435.06
"Antigua and Barbuda",2015,28,"Antigua and Barbuda",NA,0.0426422,12.93189,0,0,0,0,0,0,0,0,0,1,"Caribbean",425.364207003804,391.680429370382,459.047984637225,NA,NA,NA,482.414022373332,467.554621940002,497.273422806661,NA,NA,NA,NA,NA,NA,390.91666
"Argentina",1970,32,"Argentina",NA,0.0133894,19.01778,1,0,0,0,0,0,0,0,0,0,"South America",372.431624516641,341.215134306253,403.648114727028,364.729527466878,327.938471477094,401.520583456661,479.921910902404,442.292628869093,517.551192935715,410.652193005561,377.353094281843,443.951291729279,388.477609510503,372.093470320889,404.861748700117,340.60999
"Argentina",1975,32,"Argentina",NA,0.0148113,18.31628,0,1,0,0,0,0,0,0,0,0,"South America",370.665054618983,339.897548487176,401.432560750791,368.983841695251,332.222037402699,405.745645987804,477.380433981189,440.31917426148,514.441693700897,412.432089225395,379.278065198602,445.586113252187,390.635221099433,374.35758923343,406.912852965435,332.81
"Argentina",1980,32,"Argentina",NA,0.0173412,20.26527,0,0,1,0,0,0,0,0,0,0,"South America",362.091327820898,332.504882474675,391.677773167121,364.414427642323,328.761331782069,400.067523502577,450.968994859008,414.67590577643,487.262083941585,406.508026737642,373.676707990132,439.339345485153,385.95017468587,370.318592711733,401.581756660008,330.35999
"Argentina",1985,32,"Argentina",NA,0.0094944,19.674,0,0,0,1,0,0,0,0,0,0,"South America",372.823911187056,344.774530852416,400.873291521696,376.88784999016,341.723912835669,412.051787144652,478.520935501125,445.415996005699,511.625874996552,409.374642041316,375.590814120329,443.158469962303,385.940984006289,368.991809174661,402.890158837918,332.04001
"Argentina",1990,32,"Argentina",NA,0.0106738,17.53274,0,0,0,0,1,0,0,0,0,0,"South America",364.169645430466,340.046459659963,388.29283120097,366.979959565609,333.519160515409,400.440758615809,457.936212893259,431.339390017663,484.533035768856,415.285081238791,381.566591959103,449.003570518479,391.888180864056,374.789601158429,408.986760569682,309.655
"Argentina",1995,32,"Argentina",377.66,0.0409784,18.77681,0,0,0,0,0,1,0,0,0,0,"South America",399.958617575559,381.320763505054,418.596471646063,397.675577743999,367.849060743591,427.502094744406,465.327738781567,447.437741429307,483.217736133826,407.169715583476,375.856016345848,438.483414821104,394.694942026862,380.096835862447,409.293048191276,377.66
"Argentina",2000,32,"Argentina",409.87,0.0409059,18.40756,0,0,0,0,0,0,1,0,0,0,"South America",386.024291666502,367.936259811909,404.112323521095,400.917196424855,371.399227103671,430.435165746038,455.279313070397,440.083709681272,470.474916459521,408.230617876253,376.913652926075,439.547582826431,395.664760445272,381.024132395447,410.305388495096,409.87
"Argentina",2005,32,"Argentina",405.44,0.0376199,17.05465,0,0,0,0,0,0,0,1,0,0,"South America",395.854907812174,378.894997615728,412.814818008619,410.230305133775,380.752235599413,439.708374668137,455.998173630977,442.469953924384,469.52639333757,412.57396493402,381.127705200076,444.020224667965,398.607796051998,383.834168601923,413.381423502073,405.44
"Argentina",2010,32,"Argentina",413.27,0.0529084,20.11731,0,0,0,0,0,0,0,0,1,0,"South America",394.534301734783,377.115519701022,411.953083768545,409.926119427949,380.364966130151,439.487272725748,440.746804803802,426.2633175699,455.230292037704,401.555870327167,370.132134519264,432.979606135071,393.531675518883,378.019114995444,409.044236042321,413.27
"Argentina",2015,32,"Argentina",429.38,0.0559461,18.36141,0,0,0,0,0,0,0,0,0,1,"South America",408.401783948735,389.792788356089,427.010779541382,416.870801269422,387.132222446678,446.609380092166,457.98158831923,441.740283341733,474.222893296728,406.089831279087,374.608787874873,437.5708746833,398.826957013748,382.787706660082,414.866207367414,429.38
"Armenia",1970,51,"Armenia",NA,0.0299166,27.5038,1,0,0,0,0,0,0,0,0,0,"Western Asia",381.591063766243,351.949411229032,411.232716303454,420.692147959729,371.190794404654,470.193501514804,441.532193930217,405.261049863054,477.803337997381,447.918838501527,397.660647953246,498.177029049807,390.693270050092,374.845610792729,406.540929307456,451.32297
"Armenia",1975,51,"Armenia",NA,0.0352167,23.22307,0,1,0,0,0,0,0,0,0,0,"Western Asia",388.568242150571,359.85171221854,417.284772082602,425.572794649283,376.324896922733,474.820692375833,455.699636770242,420.655597261364,490.743676279119,459.290306490781,409.467228610287,509.113384371274,403.177236260096,388.820120315643,417.534352204548,456.27927
"Armenia",1980,51,"Armenia",NA,0.0421083,21.61777,0,0,1,0,0,0,0,0,0,0,"Western Asia",388.793454120203,359.889627631995,417.69728060841,421.533009376624,371.980929142174,471.085089611074,445.905014755998,411.002987516971,480.807041995026,462.813860905681,412.885698437742,512.74202337362,408.84975144128,394.722999444342,422.976503438219,440.90372
"Armenia",1985,51,"Armenia",NA,0.0390924,22.12853,0,0,0,1,0,0,0,0,0,0,"Western Asia",398.204235079435,371.772515585625,424.635954573245,432.723835456192,384.111657156565,481.33601375582,468.59941918659,437.818365337253,499.380473035927,461.817121491291,411.968659606571,511.665583376012,406.878579821855,392.752959197395,421.004200446315,462.42068
"Armenia",1990,51,"Armenia",NA,0.0547136,19.14201,0,0,0,0,1,0,0,0,0,0,"Western Asia",394.691293588409,372.89908099669,416.483506180128,420.517393229153,372.265965745349,468.768820712957,452.605090264281,428.981914217921,476.22826631064,467.949413031588,417.439617352938,518.459208710238,417.997586228748,403.132038838956,432.863133618539,415.59
"Armenia",1995,51,"Armenia",NA,0.0204181,16.76063,0,0,0,0,0,1,0,0,0,0,"Western Asia",423.750382085064,404.82550886866,442.675255301468,464.242304487834,417.551733338701,510.932875636967,473.656152929085,453.446627062449,493.86567879572,479.901558292762,430.39946807459,529.403648510934,417.416604827724,403.124853512372,431.708356143075,446.97665
"Armenia",2000,51,"Armenia",NA,0.024018,19.94676,0,0,0,0,0,0,1,0,0,0,"Western Asia",402.842051539318,385.336676437371,420.347426641266,465.500745442999,419.312887273948,511.688603612051,447.368676360759,430.699473446617,464.037879274901,470.298091793482,420.817265540973,519.778918045991,409.649396257259,395.482129969122,423.816662545396,464.11499
"Armenia",2005,51,"Armenia",482.68,0.0309205,20.58218,0,0,0,0,0,0,0,1,0,0,"Western Asia",410.622703063965,394.969192890911,426.27621323702,472.233425858831,426.649227977963,517.8176237397,439.393514994257,425.531733407178,453.255296581335,467.448585883629,417.906979772966,516.990191994293,409.350063771686,395.547482305666,423.152645237706,482.68
"Armenia",2010,51,"Armenia",469.07,0.0216925,15.14557,0,0,0,0,0,0,0,0,1,0,"Western Asia",422.394280580599,406.178822926447,438.609738234751,479.516574141172,433.932376260303,525.10077202204,462.21237021082,445.706824376047,478.717916045592,484.301414116375,434.759808005712,533.843020227039,421.980080752691,407.864825729946,436.095335775435,469.07
"Armenia",2015,51,"Armenia",NA,0.0275721,15.41859,0,0,0,0,0,0,0,0,0,1,"Western Asia",432.451684744573,416.172571654744,448.730797834402,485.194564989288,439.058446598494,531.330683380083,470.215699709316,454.477029306768,485.954370111863,482.636902700526,433.145605935113,532.128199465939,422.440257539949,408.948280568409,435.932234511489,443.18668
"Aruba",1970,533,"Aruba",NA,0.0431306,31.97295,1,0,0,0,0,0,0,0,0,0,"Caribbean",358.80311874111,316.396841585214,401.209395897006,NA,NA,NA,421.529191166958,384.899802782319,458.158579551596,NA,NA,NA,NA,NA,NA,357.89798
"Aruba",1975,533,"Aruba",NA,0.0529002,28.13298,0,1,0,0,0,0,0,0,0,0,"Caribbean",365.828754104383,324.090712505702,407.566795703064,NA,NA,NA,433.874745960704,398.584459126788,469.16503279462,NA,NA,NA,NA,NA,NA,351.28867
"Aruba",1980,533,"Aruba",NA,0.0377674,24.72464,0,0,1,0,0,0,0,0,0,0,"Caribbean",365.00491253746,323.178567331243,406.831257743677,NA,NA,NA,431.354780757345,396.418546095092,466.291015419597,NA,NA,NA,NA,NA,NA,349.94931
"Aruba",1985,533,"Aruba",NA,0.0338099,24.19762,0,0,0,1,0,0,0,0,0,0,"Caribbean",376.480980662531,336.262717187225,416.699244137836,NA,NA,NA,458.795412472407,427.927399169269,489.663425775546,NA,NA,NA,NA,NA,NA,351.76135
"Aruba",1990,533,"Aruba",NA,0.0410541,21.63677,0,0,0,0,1,0,0,0,0,0,"Caribbean",370.127748825362,332.940870237729,407.314627412995,NA,NA,NA,440.436767659585,417.336076232548,463.537459086622,NA,NA,NA,NA,NA,NA,334.29367
"Aruba",1995,533,"Aruba",NA,0.0457973,19.23044,0,0,0,0,0,1,0,0,0,0,"Caribbean",408.120856613473,373.754989729913,442.486723497033,NA,NA,NA,463.463081907463,445.538905986045,481.387257828882,NA,NA,NA,NA,NA,NA,424.97501
"Aruba",2000,533,"Aruba",NA,0.0469667,18.7917,0,0,0,0,0,0,1,0,0,0,"Caribbean",394.621629147222,359.754977707752,429.488280586691,NA,NA,NA,453.794641285791,438.544224818018,469.045057753563,NA,NA,NA,NA,NA,NA,393.00339
"Aruba",2005,533,"Aruba",NA,0.0510509,17.60745,0,0,0,0,0,0,0,1,0,0,"Caribbean",405.75811547667,371.961161188429,439.555069764911,NA,NA,NA,454.086019468506,440.663548443413,467.5084904936,NA,NA,NA,NA,NA,NA,419.245
"Aruba",2010,533,"Aruba",NA,0.0651369,15.56577,0,0,0,0,0,0,0,0,1,0,"Caribbean",415.375525733308,380.786321007661,449.964730458954,NA,NA,NA,462.342426690912,445.930605836828,478.754247544996,NA,NA,NA,NA,NA,NA,435.06
"Aruba",2015,533,"Aruba",NA,0.0355037,15.33458,0,0,0,0,0,0,0,0,0,1,"Caribbean",418.463147521327,384.641298099932,452.284996942721,NA,NA,NA,470.981461087344,456.037403640016,485.925518534672,NA,NA,NA,NA,NA,NA,390.91666
"Australia",1970,36,"Australia",484,0.0261395,23.6405,1,0,0,0,0,0,0,0,0,0,"Australia and New Zealand",447.98284075677,416.083113969865,479.882567543675,457.2750196363,430.637927762146,483.912111510455,459.187822281311,422.761746130268,495.613898432354,467.107146240798,443.517942620949,490.696349860648,451.674795969852,429.309640592145,474.039951347558,484
"Australia",1975,36,"Australia",505.47,0.0595289,19.7114,0,1,0,0,0,0,0,0,0,0,"Australia and New Zealand",460.576489222829,429.487350959015,491.665627486643,456.944650932626,430.573857305397,483.315444559855,473.070266921781,437.543896172456,508.596637671105,473.235521518704,450.371745903408,496.099297134,468.897241220697,447.545691317794,490.2487911236,505.47
"Australia",1980,36,"Australia",331.55,0.0550192,17.16525,0,0,1,0,0,0,0,0,0,0,"Australia and New Zealand",460.275062070509,429.267733566495,491.282390574523,455.31607090199,428.940233949666,481.691907854314,467.076007747289,431.689003847066,502.463011647513,481.156662710255,458.765538009139,503.547787411371,474.774337919418,453.754972126661,495.793703712176,331.55
"Australia",1985,36,"Australia",475.87,0.041721,16.68713,0,0,0,1,0,0,0,0,0,0,"Australia and New Zealand",469.519212961421,440.303400757175,498.735025165667,468.733524075823,443.737064172615,493.729983979031,493.845830513264,462.957090086898,524.734570939631,484.525042684727,462.368339145935,506.681746223519,473.361916979782,452.357594039259,494.366239920304,475.87
"Australia",1990,36,"Australia",488.69,0.0414527,16.58099,0,0,0,0,1,0,0,0,0,0,"Australia and New Zealand",456.065596355274,429.913155859158,482.218036851391,458.332511623481,435.165455413071,481.499567833892,463.79664518977,440.620328123413,486.972962256126,484.867378400882,462.701252779524,507.03350402224,473.590684939292,452.573489392388,494.607880486196,488.69
"Australia",1995,36,"Australia",501.93,0.0519244,17.97109,0,0,0,0,0,1,0,0,0,0,"Australia and New Zealand",487.022893672076,462.717707149853,511.328080194298,492.561175292944,470.143689737915,514.978660847972,469.569025831526,451.14917367254,487.988877990512,479.332791849178,457.072835669054,501.592748029303,472.00050151247,451.067225405743,492.933777619197,501.93
"Australia",2000,36,"Australia",508.87,0.0489147,17.4916,0,0,0,0,0,0,1,0,0,0,"Australia and New Zealand",472.662650434245,449.150570101785,496.174730766704,496.374947370665,474.307220479278,518.442674262051,459.889594293367,444.358396617989,475.420791968745,481.150859204591,458.996010874244,503.305707534937,472.67071768795,451.785143843366,493.556291532533,508.87
"Australia",2005,36,"Australia",504.44,0.030701,15.55395,0,0,0,0,0,0,0,1,0,0,"Australia and New Zealand",480.382375651764,456.269681673405,504.495069630124,508.604982220497,486.20423541821,531.005729022784,462.596752738652,447.91879881742,477.274706659883,489.411913308913,466.607650872829,512.216175744996,474.156324050109,452.373444510701,495.939203589517,504.44
"Australia",2010,36,"Australia",509.98,0.0421355,14.49824,0,0,0,0,0,0,0,0,1,0,"Australia and New Zealand",487.2310595849,463.748595010891,510.71352415891,510.525673598621,488.617237570033,532.434109627209,466.174923140501,452.231047190357,480.118799090645,490.686464051196,468.378729500053,512.994198602339,479.281539196271,458.176870970874,500.386207421668,509.98
