iso,year,edu_exp_
116,2015,2.16286
120,1970,3.22188
120,1975,5.45101
120,1980,3.242743
120,1985,2.785735
120,1990,3.08611
120,1995,2.76138
120,2000,2.57729
120,2005,2.88489
120,2010,2.782552
120,2015,2.930598
124,1970,7.263183
124,1975,6.741978
124,1980,6.591778
124,1985,6.171198
124,1990,6.806302
124,1995,5.795454
124,2000,5.140763
124,2005,4.763352
124,2010,5.322185
124,2015,1.599495
132,1970,3.425147
132,1975,4.469747
132,1980,3.979005
132,1985,3.123109
132,1990,3.799333
132,1995,6.596725
132,2000,7.67673
132,2005,5.691028
132,2010,5.144053
132,2015,5.242973
136,1970,5.809939
136,1975,6.181745
136,1980,4.281818
136,1985,3.532633
136,1990,4.105412
136,1995,4.152601
136,2000,4.537179
136,2005,2.476785
136,2010,5.831887
136,2015,4.496346
140,1970,4.364556
140,1975,3.17053
140,1980,3.841046
140,1985,2.3779
140,1990,2.260255
140,1995,1.69002
140,2000,1.574137
140,2005,1.385038
140,2010,1.112765
140,2015,3.32617
144,1970,3.3164
144,1975,2.65599
144,1980,2.45215
144,1985,2.721482
144,1990,2.81168
144,1995,3.11754
144,2000,3.762535
144,2005,2.0559
144,2010,1.715294
144,2015,2.64257
148,1970,4.364556
148,1975,5.45101
148,1980,3.841046
148,1985,2.731709
148,1990,3.631251
148,1995,2.383413
148,2000,2.221933
148,2005,2.003255
148,2010,2.324175
148,2015,2.348335
152,1970,3.75121
152,1975,3.382517
152,1980,4.56715
152,1985,2.82329
152,1990,2.3819
152,1995,3.088556
152,2000,3.839723
152,2005,3.504246
152,2010,4.366915
152,2015,5.2074
156,1970,1.601367
156,1975,1.8763
156,1980,1.994148
156,1985,1.90953
156,1990,1.76604
156,1995,1.85692
156,2000,4.227512
156,2005,3.665209
156,2010,3.637479
156,2015,3.69597
158,1970,2.39059
158,1975,2.272197
158,1980,2.829135
158,1985,2.623468
158,1990,2.610227
158,1995,3.223577
158,2000,4.227512
158,2005,3.665209
158,2010,3.637479
158,2015,3.69597
170,1970,3.004822
170,1975,1.75434
170,1980,2.44355
170,1985,2.71026
170,1990,2.437877
170,1995,4.18362
170,2000,3.978502
170,2005,4.154758
170,2010,4.639978
170,2015,4.496768
174,1970,3.576668
174,1975,3.702188
174,1980,4.530663
174,1985,4.647418
174,1990,6.073288
174,1995,2.20136
174,2000,2.25842
174,2005,4.42265
174,2010,2.676445
174,2015,2.48708
178,1970,5.507233
178,1975,7.73149
178,1980,6.35924
178,1985,2.731709
178,1990,6.37312
178,1995,4.489305
178,2000,2.777537
178,2005,1.83577
178,2010,5.118995
178,2015,4.619527
180,1970,4.364556
180,1975,5.45101
180,1980,1.921154
180,1985,.80606
180,1990,3.631251
180,1995,2.76138
180,2000,2.664703
180,2005,2.773185
180,2010,1.846207
180,2015,1.914693
184,1970,9.86156
184,1975,6.29366
184,1980,8.249955
184,1985,6.89637
184,1990,5.95264
184,1995,1.91272
184,2000,2.0706
184,2005,7.891088
184,2010,3.200975
184,2015,4.282855
188,1970,2.648185
188,1975,2.273989
188,1980,5.730007
188,1985,4.17045
188,1990,2.680458
188,1995,4.233137
188,2000,4.956028
188,2005,5.065388
188,2010,6.6997
188,2015,7.140705
191,1970,2.733934
191,1975,2.847354
191,1980,3.146412
191,1985,3.289963
191,1990,4.003836
191,1995,4.152017
191,2000,3.834793
191,2005,4.2075
191,2010,4.313993
191,2015,4.067101
192,1970,5.809939
192,1975,6.181745
192,1980,8.36909
192,1985,3.532633
192,1990,6.613073
192,1995,6.481985
192,2000,9.168633
192,2005,11.73342
192,2010,12.83731
192,2015,4.496346
196,1970,3.685292
196,1975,3.641136
196,1980,3.637755
196,1985,3.455276
196,1990,3.79009
196,1995,4.256655
196,2000,5.694936
196,2005,6.565588
196,2010,6.487295
196,2015,6.33333
203,1970,4.57293
203,1975,4.051205
203,1980,3.52948
203,1985,3.871149
203,1990,4.212817
203,1995,4.024508
203,2000,3.904534
203,2005,3.977988
203,2010,4.134594
203,2015,5.688115
204,1970,3.425147
204,1975,4.469747
204,1980,3.979005
204,1985,3.123109
204,1990,3.799333
204,1995,2.68727
204,2000,3.140138
204,2005,3.676316
204,2010,4.691483
204,2015,4.308475
208,1970,6.335604
208,1975,5.931303
208,1980,5.91093
208,1985,6.02245
208,1990,6.94688
208,1995,7.848473
208,2000,8.168476
208,2005,7.871202
208,2010,8.082302
208,2015,5.938086
212,1970,5.809939
212,1975,6.181745
212,1980,4.281818
212,1985,4.28991
212,1990,4.105412
212,1995,4.88422
212,2000,4.537179
212,2005,4.492093
212,2010,5.831887
212,2015,3.38688
214,1970,2.64079
214,1975,6.181745
214,1980,1.445763
214,1985,1.21019
214,1990,.83366
214,1995,1.130275
214,2000,1.903695
214,2005,2.04679
214,2010,5.831887
214,2015,4.496346
218,1970,1.941115
218,1975,2.41884
218,1980,4.20342
218,1985,6.052865
218,1990,2.437877
218,1995,1.91345
218,2000,1.15093
218,2005,4.34242
218,2010,4.828604
218,2015,4.9987
222,1970,2.648185
222,1975,.90451
222,1980,3.873037
222,1985,3.845829
222,1990,2.680458
222,1995,2.55493
222,2000,3.072063
222,2005,3.879658
222,2010,3.856942
222,2015,3.768667
226,1970,4.364556
226,1975,5.45101
226,1980,3.841046
226,1985,2.731709
226,1990,3.631251
226,1995,2.18798
226,2000,2.664703
226,2005,2.773185
226,2010,3.247619
226,2015,3.32617
231,1970,3.576668
231,1975,3.702188
231,1980,2.17548
231,1985,2.23776
231,1990,2.35421
231,1995,2.76628
231,2000,3.77195
231,2005,5.19309
231,2010,4.92994
231,2015,4.73792
232,1970,3.576668
232,1975,3.702188
232,1980,4.530663
232,1985,4.647418
232,1990,6.073288
232,1995,3.447503
232,2000,3.573343
232,2005,2.127
232,2010,4.327177
232,2015,4.387366
233,1970,5.414495
233,1975,5.769451
233,1980,5.599663
233,1985,5.274018
233,1990,5.689692
233,1995,6.322608
233,2000,5.250362
233,2005,5.24512
233,2010,5.09891
233,2015,5.1561
242,1970,5.643403
242,1975,5.19761
242,1980,6.1534
242,1985,4.8311
242,1990,5.162165
242,1995,5.333065
242,2000,5.970785
242,2005,5.065918
242,2010,4.027975
242,2015,5.582323
246,1970,5.06199
246,1975,5.015767
246,1980,4.79512
246,1985,5.094388
246,1990,6.504644
246,1995,6.513186
246,2000,5.98658
246,2005,5.99844
246,2010,6.90506
246,2015,6.988715
250,1970,3.48704
250,1975,4.382948
250,1980,4.722064
250,1985,4.636816
250,1990,5.02933
250,1995,5.727377
250,2000,3.794348
250,2005,4.196439
250,2010,4.43245
250,2015,4.673742
254,1970,3.004822
254,1975,3.436908
254,1980,3.955865
254,1985,2.994236
254,1990,2.437877
254,1995,3.753639
254,2000,3.716259
254,2005,3.973552
254,2010,4.424499
254,2015,4.942793
258,1970,5.643403
258,1975,6.29366
258,1980,8.249955
258,1985,5.863735
258,1990,5.162165
258,1995,6.148912
258,2000,6.751278
258,2005,7.891088
258,2010,5.500103
258,2015,5.582323
262,1970,3.576668
262,1975,3.702188
262,1980,4.530663
262,1985,4.647418
262,1990,6.073288
262,1995,7.62948
262,2000,8.81351
262,2005,8.350307
262,2010,4.49022
262,2015,5.57066
266,1970,4.364556
266,1975,5.45101
266,1980,3.841046
266,1985,2.731709
266,1990,2.80552
266,1995,3.250445
266,2000,3.82709
266,2005,2.773185
