"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys","fit1","lwr1","upr1"
"Afghanistan",2015,4,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,0.562305129755427,0.4127662979692,0.0249285722753731,56.980282,NA,0.77934915356,1.05067879555,0.77934915356,0.72370253926636,0.394059950891898,1.05334512764082
"Albania",2015,8,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,0.265795505079875,0.60883248383676,0.125372011083365,1.8588486,436.73,10.27811499925,10.55483202886,10.27811499925,10.1594581321916,9.90218244041002,10.4167338239732
"Algeria",2015,12,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,0.362151859050724,0.579151043952599,0.0586970969966769,18.592163,375.14,NA,NA,NA,8.05091901010574,7.7281501672812,8.37368785293028
"Angola",2015,24,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30000000000001,0.575075468515002,0.401862214772087,0.0230623167129109,33.969887,NA,1.67166738486,2.07992940252,1.67166738486,0.957629948145801,0.545724979472453,1.36953491681915
"Antigua and Barbuda",2015,28,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,0.332,0.602,0.066,1.0500031,NA,NA,NA,NA,9.56894042225791,9.26122616103343,9.87665468348239
"Argentina",2015,32,10.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,0.331231729987354,0.559487967418621,0.109280302594025,0.89705402,429.38,NA,NA,NA,9.72178603714743,9.51556935012719,9.92800272416767
"Armenia",2015,51,11.03,"Armenia",0,0,0,262.45345050269,182648,255.25591,NA,11.03,0.972575934936637,10.7275125623511,94.1,0.260866584395996,0.630056218291512,0.109077197312491,0.26393127,469.07,NA,NA,10.7275125623511,10.849072817597,10.416641000183,11.281504635011
"Aruba",2015,533,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,0.259578544061303,0.618773946360153,0.121647509578544,2.1925812,NA,NA,NA,NA,9.06413478861451,8.72184828886523,9.40642128836378
"Australia",2015,36,13.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,0.250563053599341,0.599660487083382,0.149776459317276,0.200718699596004,509.22,NA,NA,NA,13.5734360999248,13.286924215545,13.8599479843047
"Austria",2015,40,12.16,"Austria",0,0,0,262.45345050269,182648,269.41,4700,12.16,1.02650584126056,12.4823110297284,79.5,0.19384016223441,0.617758215421487,0.188401622344103,0.200718699596004,519.54,NA,NA,12.4823110297284,12.6828216102563,12.4071147275601,12.9585284929526
"Azerbaijan",2015,31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,0.303927379355523,0.638685258549875,0.0573873620946023,0.21021526,453.14,NA,NA,NA,10.0837044955932,9.58157221665268,10.5858367745336
"Bahamas",2015,44,12.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.7,0.28593588417787,0.631075491209928,0.0829886246122027,3.0908464189511,NA,NA,NA,NA,11.9704439617276,11.5469461046664,12.3939418187887
"Bahrain",2015,48,9.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,0.262755102040816,0.71399416909621,0.0232507288629738,2.6884129,452.36,NA,NA,NA,7.81451178079122,7.16765825841731,8.46136530316512
"Bangladesh",2015,50,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,0.394148770194596,0.555469189573468,0.0503820402319351,28.824696,NA,3.10795318176,3.7947936667,3.10795318176,4.02507671609516,3.72147071678682,4.32868271540351
"Barbados",2015,52,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,0.258529722124516,0.599718607105171,0.141751670770313,0.40000153,NA,NA,NA,NA,10.1130990620469,9.8221562724018,10.404041851692
"Belarus",2015,112,11.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9,0.210049657877258,0.64658562557328,0.143364716549463,0.24343872,NA,NA,NA,NA,11.7856843447186,11.4045807254476,12.1667879639897
"Belgium",2015,56,11.95,"Belgium",0,0,0,262.45345050269,182648,275.3,5002,11.95,1.04894791618363,12.5349275983944,73.7,0.225905615747836,0.592670027197264,0.1814243570549,0.401437399192008,529.11,NA,NA,12.5349275983944,12.3229067805551,12.0507877906701,12.59502577044
