iso3n,year,illit_,age
8,"1990_94",3.582773,"15-19"
8,"1995_99",2.280469,"15-19"
8,"2000_04",.1316768,"15-19"
8,"2005_09",.3455999,"15-19"
8,"2010_14",.2345705,"15-19"
8,"2015_19",.1467404,"15-19"
8,"2020_25","NA","15-19"
8,"1970_74",20.85229,"20-24"
8,"1975_79",15.80361,"20-24"
8,"1980_84",10.65624,"20-24"
8,"1985_89",7.084523,"20-24"
8,"1990_94",5.475007,"20-24"
8,"1995_99",3.587511,"20-24"
8,"2000_04",.208634,"20-24"
8,"2005_09",.5279127,"20-24"
8,"2010_14",.3248654,"20-24"
8,"2015_19",.1915337,"20-24"
8,"2020_25","NA","20-24"
8,"1970_74",27.41667,"25-29"
8,"1975_79",20.63327,"25-29"
8,"1980_84",15.60899,"25-29"
8,"1985_89",10.77647,"25-29"
8,"1990_94",7.144589,"25-29"
8,"1995_99",5.478222,"25-29"
8,"2000_04",.3282248,"25-29"
8,"2005_09",.8361461,"25-29"
8,"2010_14",.4956427,"25-29"
8,"2015_19",.2653992,"25-29"
8,"2020_25","NA","25-29"
8,"1970_74",38.12043,"30-34"
8,"1975_79",27.20756,"30-34"
8,"1980_84",20.389,"30-34"
8,"1985_89",15.74357,"30-34"
8,"1990_94",10.85009,"30-34"
8,"1995_99",7.144785,"30-34"
8,"2000_04",.5009699,"30-34"
8,"2005_09",1.313602,"30-34"
8,"2010_14",.7851398,"30-34"
8,"2015_19",.40424,"30-34"
8,"2020_25","NA","30-34"
8,"1970_74",50.5496,"35-39"
8,"1975_79",37.83098,"35-39"
8,"1980_84",26.89369,"35-39"
8,"1985_89",20.46835,"35-39"
8,"1990_94",15.7487,"35-39"
8,"1995_99",10.87298,"35-39"
8,"2000_04",.653941,"35-39"
8,"2005_09",2.007459,"35-39"
8,"2010_14",1.233561,"35-39"
8,"2015_19",.6407503,"35-39"
8,"2020_25","NA","35-39"
8,"1970_74",60.72885,"40-44"
8,"1975_79",50.19064,"40-44"
8,"1980_84",37.59089,"40-44"
8,"1985_89",26.97322,"40-44"
8,"1990_94",20.41642,"40-44"
8,"1995_99",15.77279,"40-44"
8,"2000_04",.994087,"40-44"
8,"2005_09",2.619771,"40-44"
8,"2010_14",1.885158,"40-44"
8,"2015_19",1.007063,"40-44"
8,"2020_25","NA","40-44"
8,"1970_74",69.04189,"45-49"
8,"1975_79",60.4156,"45-49"
8,"1980_84",49.98264,"45-49"
8,"1985_89",37.79335,"45-49"
8,"1990_94",27.05362,"45-49"
8,"1995_99",20.431,"45-49"
8,"2000_04",1.443033,"45-49"
8,"2005_09",3.984882,"45-49"
8,"2010_14",2.461529,"45-49"
8,"2015_19",1.538249,"45-49"
8,"2020_25","NA","45-49"
8,"1970_74",75.58116,"50-54"
8,"1975_79",68.56989,"50-54"
8,"1980_84",60.14007,"50-54"
8,"1985_89",49.78304,"50-54"
8,"1990_94",37.42725,"50-54"
8,"1995_99",27.14073,"50-54"
8,"2000_04",1.872257,"50-54"
8,"2005_09",5.792283,"50-54"
8,"2010_14",3.748326,"50-54"
8,"2015_19",2.009417,"50-54"
8,"2020_25","NA","50-54"
8,"1970_74",81.43057,"55-59"
8,"1975_79",76.11469,"55-59"
8,"1980_84",69.95611,"55-59"
8,"1985_89",60.78408,"55-59"
8,"1990_94",49.61605,"55-59"
8,"1995_99",37.59558,"55-59"
8,"2000_04",2.496768,"55-59"
8,"2005_09",7.525922,"55-59"
8,"2010_14",5.460348,"55-59"
8,"2015_19",3.074462,"55-59"
8,"2020_25","NA","55-59"
8,"1970_74",86.33947,"60-64"
8,"1975_79",81.99777,"60-64"
8,"1980_84",76.54472,"60-64"
8,"1985_89",69.62685,"60-64"
8,"1990_94",61.13825,"60-64"
8,"1995_99",50.03183,"60-64"
8,"2000_04",3.473502,"60-64"
8,"2005_09",10.07138,"60-64"
8,"2010_14",7.127046,"60-64"
8,"2015_19",4.503755,"60-64"
8,"2020_25","NA","60-64"
8,"1970_74",90.18106,"65-69"
8,"1975_79",86.79768,"65-69"
8,"1980_84",82.32241,"65-69"
8,"1985_89",76.46278,"65-69"
8,"1990_94",70.5778,"65-69"
8,"1995_99",61.98926,"65-69"
8,"2000_04",4.634899,"65-69"
8,"2005_09",14.06619,"65-69"
8,"2010_14",9.581839,"65-69"
8,"2015_19",5.915545,"65-69"
8,"2020_25","NA","65-69"
8,"1970_74",91.97822,"70+"
8,"1975_79",90.87832,"70+"
8,"1980_84",87.39439,"70+"
8,"1985_89",83.33811,"70+"
8,"1990_94",78.95323,"70+"
8,"1995_99",72.50134,"70+"
8,"2000_04",5.9045,"70+"
8,"2005_09",19.71224,"70+"
8,"2010_14",14.04535,"70+"
8,"2015_19",8.338449,"70+"
8,"2020_25","NA","70+"
8,"1970_74",45.36162,"15+"
8,"1975_79",37.97512,"15+"
8,"1980_84",31.63314,"15+"
8,"1985_89",26.10814,"15+"
8,"1990_94",21.34594,"15+"
8,"1995_99",17.43873,"15+"
8,"2000_04",1.28702,"15+"
8,"2005_09",4.06136,"15+"
8,"2010_14",2.953865,"15+"
8,"2015_19",1.85885,"15+"
8,"2020_25","NA","15+"
12,"1970_74",49.22887,"15-19"
12,"1975_79",40.11152,"15-19"
12,"1980_84",31.32784,"15-19"
12,"1985_89",23.40014,"15-19"
12,"1990_94",16.66414,"15-19"
12,"1995_99",11.53919,"15-19"
12,"2000_04",7.764197,"15-19"
12,"2005_09",5.303841,"15-19"
12,"2010_14",3.336456,"15-19"
12,"2015_19",2.289026,"15-19"
12,"2020_25",1.271451,"15-19"
12,"1970_74",59.12783,"20-24"
12,"1975_79",49.39567,"20-24"
12,"1980_84",40.1763,"20-24"
12,"1985_89",31.43325,"20-24"
12,"1990_94",23.40504,"20-24"
12,"1995_99",16.6714,"20-24"
12,"2000_04",11.54041,"20-24"
12,"2005_09",8.031659,"20-24"
12,"2010_14",5.133332,"20-24"
12,"2015_19",3.581578,"20-24"
12,"2020_25",2.041048,"20-24"
12,"1970_74",68.6415,"25-29"
12,"1975_79",58.97195,"25-29"
12,"1980_84",49.3137,"25-29"
12,"1985_89",40.21329,"25-29"
12,"1990_94",31.43338,"25-29"
12,"1995_99",23.40922,"25-29"
12,"2000_04",16.6705,"25-29"
12,"2005_09",11.93671,"25-29"
12,"2010_14",7.772485,"25-29"
12,"2015_19",5.510072,"25-29"
12,"2020_25",3.199107,"25-29"
12,"1970_74",75.84895,"30-34"
12,"1975_79",68.25254,"30-34"
12,"1980_84",58.69385,"30-34"
12,"1985_89",49.01271,"30-34"
12,"1990_94",40.23581,"30-34"
12,"1995_99",31.43677,"30-34"
12,"2000_04",23.40475,"30-34"
12,"2005_09",17.24023,"30-34"
12,"2010_14",11.55066,"30-34"
12,"2015_19",8.342582,"30-34"
12,"2020_25",4.928535,"30-34"
12,"1970_74",81.03908,"35-39"
12,"1975_79",75.77724,"35-39"
12,"1980_84",67.77042,"35-39"
12,"1985_89",58.01997,"35-39"
12,"1990_94",49.0687,"35-39"
12,"1995_99",40.24018,"35-39"
12,"2000_04",31.43291,"35-39"
12,"2005_09",24.21093,"35-39"
12,"2010_14",16.68559,"35-39"
12,"2015_19",12.39939,"35-39"
12,"2020_25",7.47394,"35-39"
12,"1970_74",84.91308,"40-44"
12,"1975_79",80.92978,"40-44"
12,"1980_84",75.2765,"40-44"
12,"1985_89",66.99342,"40-44"
12,"1990_94",58.08538,"40-44"
12,"1995_99",49.07777,"40-44"
12,"2000_04",40.24015,"40-44"
12,"2005_09",32.51767,"40-44"
12,"2010_14",23.43258,"40-44"
12,"2015_19",17.91365,"40-44"
12,"2020_25",11.12967,"40-44"
12,"1970_74",88.20236,"45-49"
12,"1975_79",84.866,"45-49"
12,"1980_84",80.6383,"45-49"
12,"1985_89",74.75984,"45-49"
12,"1990_94",67.07125,"45-49"
12,"1995_99",58.09286,"45-49"
12,"2000_04",49.07866,"45-49"
12,"2005_09",41.62601,"45-49"
12,"2010_14",31.47554,"45-49"
12,"2015_19",25.16043,"45-49"
12,"2020_25",16.12981,"45-49"
12,"1970_74","NA","50-54"
12,"1975_79",88.25272,"50-54"
12,"1980_84",84.76012,"50-54"
12,"1985_89",80.37672,"50-54"
12,"1990_94",74.808,"50-54"
12,"1995_99",67.09424,"50-54"
12,"2000_04",58.10682,"50-54"
12,"2005_09",50.78876,"50-54"
12,"2010_14",40.31284,"50-54"
12,"2015_19",33.81218,"50-54"
12,"2020_25",22.72559,"50-54"
12,"1970_74",93.09692,"55-59"
12,"1975_79",91.02691,"55-59"
12,"1980_84",88.10179,"55-59"
12,"1985_89",84.4637,"55-59"
12,"1990_94",80.45045,"55-59"
12,"1995_99",74.85779,"55-59"
12,"2000_04",67.13845,"55-59"
12,"2005_09",60.16652,"55-59"
12,"2010_14",49.21396,"55-59"
