"iso","year","literate_prop","wb_il_prop","sex"
796,"1960",NA,NA,"Male"
148,"1960",NA,NA,"Male"
768,"1960",NA,NA,"Male"
764,"1960",NA,NA,"Male"
762,"1960",NA,NA,"Male"
795,"1960",NA,NA,"Male"
626,"1960",NA,NA,"Male"
776,"1960",NA,NA,"Male"
780,"1960",NA,NA,"Male"
788,"1960",NA,NA,"Male"
792,"1960",NA,NA,"Male"
798,"1960",NA,NA,"Male"
834,"1960",NA,NA,"Male"
800,"1960",NA,NA,"Male"
804,"1960",NA,NA,"Male"
858,"1960",NA,NA,"Male"
840,"1960",NA,NA,"Male"
860,"1960",NA,NA,"Male"
670,"1960",NA,NA,"Male"
862,"1960",NA,NA,"Male"
92,"1960",NA,NA,"Male"
850,"1960",NA,NA,"Male"
704,"1960",NA,NA,"Male"
548,"1960",NA,NA,"Male"
882,"1960",NA,NA,"Male"
887,"1960",NA,NA,"Male"
710,"1960",NA,NA,"Male"
894,"1960",NA,NA,"Male"
716,"1960",NA,NA,"Male"
533,"1961",NA,NA,"Male"
4,"1961",NA,NA,"Male"
24,"1961",NA,NA,"Male"
8,"1961",NA,NA,"Male"
20,"1961",NA,NA,"Male"
784,"1961",NA,NA,"Male"
32,"1961",NA,NA,"Male"
51,"1961",NA,NA,"Male"
16,"1961",NA,NA,"Male"
28,"1961",NA,NA,"Male"
36,"1961",NA,NA,"Male"
40,"1961",NA,NA,"Male"
31,"1961",NA,NA,"Male"
108,"1961",NA,NA,"Male"
56,"1961",NA,NA,"Male"
204,"1961",NA,NA,"Male"
854,"1961",NA,NA,"Male"
50,"1961",NA,NA,"Male"
100,"1961",NA,NA,"Male"
48,"1961",NA,NA,"Male"
44,"1961",NA,NA,"Male"
70,"1961",NA,NA,"Male"
112,"1961",NA,NA,"Male"
84,"1961",NA,NA,"Male"
60,"1961",NA,NA,"Male"
68,"1961",NA,NA,"Male"
76,"1961",NA,NA,"Male"
52,"1961",NA,NA,"Male"
96,"1961",NA,NA,"Male"
64,"1961",NA,NA,"Male"
72,"1961",NA,NA,"Male"
140,"1961",NA,NA,"Male"
124,"1961",NA,NA,"Male"
756,"1961",NA,NA,"Male"
152,"1961",NA,NA,"Male"
156,"1961",NA,NA,"Male"
384,"1961",NA,NA,"Male"
120,"1961",NA,NA,"Male"
180,"1961",NA,NA,"Male"
178,"1961",NA,NA,"Male"
170,"1961",NA,NA,"Male"
174,"1961",NA,NA,"Male"
132,"1961",NA,NA,"Male"
188,"1961",NA,NA,"Male"
192,"1961",NA,NA,"Male"
531,"1961",NA,NA,"Male"
136,"1961",NA,NA,"Male"
196,"1961",NA,NA,"Male"
203,"1961",NA,NA,"Male"
276,"1961",NA,NA,"Male"
262,"1961",NA,NA,"Male"
212,"1961",NA,NA,"Male"
208,"1961",NA,NA,"Male"
214,"1961",NA,NA,"Male"
12,"1961",NA,NA,"Male"
218,"1961",NA,NA,"Male"
818,"1961",NA,NA,"Male"
232,"1961",NA,NA,"Male"
724,"1961",NA,NA,"Male"
233,"1961",NA,NA,"Male"
231,"1961",NA,NA,"Male"
246,"1961",NA,NA,"Male"
242,"1961",NA,NA,"Male"
250,"1961",NA,NA,"Male"
234,"1961",NA,NA,"Male"
583,"1961",NA,NA,"Male"
266,"1961",NA,NA,"Male"
826,"1961",NA,NA,"Male"
268,"1961",NA,NA,"Male"
288,"1961",NA,NA,"Male"
292,"1961",NA,NA,"Male"
324,"1961",NA,NA,"Male"
270,"1961",NA,NA,"Male"
624,"1961",NA,NA,"Male"
226,"1961",NA,NA,"Male"
300,"1961",NA,NA,"Male"
308,"1961",NA,NA,"Male"
304,"1961",NA,NA,"Male"
320,"1961",NA,NA,"Male"
316,"1961",NA,NA,"Male"
328,"1961",NA,NA,"Male"
344,"1961",NA,NA,"Male"
340,"1961",NA,NA,"Male"
191,"1961",NA,NA,"Male"
332,"1961",NA,NA,"Male"
348,"1961",NA,NA,"Male"
360,"1961",NA,NA,"Male"
833,"1961",NA,NA,"Male"
356,"1961",NA,NA,"Male"
372,"1961",NA,NA,"Male"
364,"1961",NA,NA,"Male"
368,"1961",NA,NA,"Male"
352,"1961",NA,NA,"Male"
376,"1961",NA,NA,"Male"
380,"1961",NA,NA,"Male"
388,"1961",NA,NA,"Male"
400,"1961",NA,NA,"Male"
392,"1961",NA,NA,"Male"
398,"1961",NA,NA,"Male"
404,"1961",NA,NA,"Male"
417,"1961",NA,NA,"Male"
116,"1961",NA,NA,"Male"
296,"1961",NA,NA,"Male"
659,"1961",NA,NA,"Male"
410,"1961",NA,NA,"Male"
414,"1961",NA,NA,"Male"
418,"1961",NA,NA,"Male"
422,"1961",NA,NA,"Male"
430,"1961",NA,NA,"Male"
434,"1961",NA,NA,"Male"
662,"1961",NA,NA,"Male"
438,"1961",NA,NA,"Male"
144,"1961",NA,NA,"Male"
426,"1961",NA,NA,"Male"
440,"1961",NA,NA,"Male"
442,"1961",NA,NA,"Male"
