"iso","country","year","age","sex","educ","adj_factor","qamys","mys"
124,"Canada","1970",15,1,2,1.13242154290096,9.65744170151174,9.5
124,"Canada","1970",15,1,3,0.991108118018284,9.65744170151174,9.5
124,"Canada","1970",15,1,1,1.14576594576336,9.65744170151174,9.5
124,"Canada","1970",15,2,1,1.32784932632827,9.48375391674748,9.64
124,"Canada","1970",15,2,2,1.0696116787613,9.48375391674748,9.64
124,"Canada","1970",15,2,3,0.956650337362755,9.48375391674748,9.64
124,"Canada","1970",20,1,1,1.39906175272624,11.6733102569412,11.27
124,"Canada","1970",20,1,4,0.992936042988634,11.6733102569412,11.27
124,"Canada","1970",20,1,2,1.20641457483865,11.6733102569412,11.27
124,"Canada","1970",20,1,3,0.990407322940909,11.6733102569412,11.27
124,"Canada","1970",20,2,2,1.11854278334849,11.2441777792186,11.3
124,"Canada","1970",20,2,4,0.979130747816877,11.2441777792186,11.3
124,"Canada","1970",20,2,1,1.35728252914163,11.2441777792186,11.3
124,"Canada","1970",20,2,3,0.959638489610411,11.2441777792186,11.3
124,"Canada","1970",25,1,1,1.15563041834844,12.1579838048918,11.85
124,"Canada","1970",25,1,3,1.03265943368356,12.1579838048918,11.85
124,"Canada","1970",25,1,2,1.15482738074314,12.1579838048918,11.85
124,"Canada","1970",25,1,4,0.96996889901204,12.1579838048918,11.85
124,"Canada","1970",25,2,3,1.00335873935832,11.7943121302415,11.66
124,"Canada","1970",25,2,4,0.965199263687075,11.7943121302415,11.66
124,"Canada","1970",25,2,2,1.11044948850248,11.7943121302415,11.66
124,"Canada","1970",25,2,1,1.11587074993122,11.7943121302415,11.66
124,"Canada","1970",30,1,4,0.977554968742418,12.279446506112,11.94
124,"Canada","1970",30,1,3,1.05271408952002,12.279446506112,11.94
124,"Canada","1970",30,1,1,1.1672448743779,12.279446506112,11.94
124,"Canada","1970",30,1,2,1.12042130266458,12.279446506112,11.94
124,"Canada","1970",30,2,2,1.06292223805277,11.549034216585,11.48
124,"Canada","1970",30,2,1,1.08290555951289,11.549034216585,11.48
124,"Canada","1970",30,2,3,1.00732506564632,11.549034216585,11.48
124,"Canada","1970",30,2,4,0.971221341529563,11.549034216585,11.48
124,"Canada","1970",35,1,3,1.04203574204783,11.2588809367926,11.24
124,"Canada","1970",35,1,1,1.06358398132498,11.2588809367926,11.24
124,"Canada","1970",35,1,4,0.964959954124448,11.2588809367926,11.24
124,"Canada","1970",35,1,2,1.1028844587428,11.2588809367926,11.24
124,"Canada","1970",35,2,4,0.9746818413625,10.9920191897234,10.87
124,"Canada","1970",35,2,3,1.00387233893662,10.9920191897234,10.87
124,"Canada","1970",35,2,2,1.06097345617981,10.9920191897234,10.87
124,"Canada","1970",35,2,1,1.04909699973869,10.9920191897234,10.87
124,"Canada","1970",40,1,1,1.10297640573742,10.8490241496523,10.69
124,"Canada","1970",40,1,3,1.03931927234588,10.8490241496523,10.69
124,"Canada","1970",40,1,4,0.970869893581281,10.8490241496523,10.69
124,"Canada","1970",40,1,2,1.05450474483698,10.8490241496523,10.69
124,"Canada","1970",40,2,2,1.02707082766,10.4688083529063,10.45
124,"Canada","1970",40,2,4,0.971597254971532,10.4688083529063,10.45
124,"Canada","1970",40,2,1,1.03470568850035,10.4688083529063,10.45
124,"Canada","1970",40,2,3,0.991391902577806,10.4688083529063,10.45
124,"Canada","1970",45,1,1,1.0539397222407,10.2402009328548,10.06
124,"Canada","1970",45,1,2,1.05532218265658,10.2402009328548,10.06
124,"Canada","1970",45,1,4,0.974446243169098,10.2402009328548,10.06
124,"Canada","1970",45,1,3,1.05107507419018,10.2402009328548,10.06
124,"Canada","1970",45,2,3,0.98508211114714,9.94938113945472,9.87
124,"Canada","1970",45,2,2,1.0123836176661,9.94938113945472,9.87
124,"Canada","1970",45,2,4,0.975107845798091,9.94938113945472,9.87
124,"Canada","1970",45,2,1,1.05725905119359,9.94938113945472,9.87
124,"Canada","1970",50,1,2,1.04867849192745,9.62431497671448,9.39
124,"Canada","1970",50,1,3,1.03717174017725,9.62431497671448,9.39
124,"Canada","1970",50,1,4,0.978998869094097,9.62431497671448,9.39
124,"Canada","1970",50,1,1,1.06248092946584,9.62431497671448,9.39
124,"Canada","1970",50,2,2,0.988770101625943,9.23392783822319,9.13
124,"Canada","1970",50,2,1,1.04543588232158,9.23392783822319,9.13
124,"Canada","1970",50,2,4,0.980713565299572,9.23392783822319,9.13
124,"Canada","1970",50,2,3,0.986183256273064,9.23392783822319,9.13
124,"Canada","1970",55,1,2,1.03416949879163,9.1383792390563,8.88
124,"Canada","1970",55,1,4,0.986355875730297,9.1383792390563,8.88
124,"Canada","1970",55,1,1,1.06738671259949,9.1383792390563,8.88
124,"Canada","1970",55,1,3,1.02769229788133,9.1383792390563,8.88
124,"Canada","1970",55,2,3,0.994167257488209,8.59770664426337,8.48
124,"Canada","1970",55,2,1,1.0241967911678,8.59770664426337,8.48
124,"Canada","1970",55,2,4,0.973576421326985,8.59770664426337,8.48
124,"Canada","1970",55,2,2,0.980214169913621,8.59770664426337,8.48
124,"Canada","1970",60,1,2,1.02594412273675,8.62923982068452,8.43
124,"Canada","1970",60,1,1,1.03725690816435,8.62923982068452,8.43
124,"Canada","1970",60,1,3,1.02847083542372,8.62923982068452,8.43
124,"Canada","1970",60,1,4,0.98524847997623,8.62923982068452,8.43
124,"Canada","1970",60,2,2,0.959907886071104,7.99991674745719,7.84
124,"Canada","1970",60,2,3,0.976840918529484,7.99991674745719,7.84
124,"Canada","1970",60,2,4,0.97592519250333,7.99991674745719,7.84
124,"Canada","1970",60,2,1,1.02447861834049,7.99991674745719,7.84
124,"Canada","1975",15,1,1,1.12005975169454,9.51175987716979,9.58
124,"Canada","1975",15,1,2,1.11404280942201,9.51175987716979,9.58
124,"Canada","1975",15,1,3,0.962411304537948,9.51175987716979,9.58
124,"Canada","1975",15,2,1,1.35825799602368,9.7200561480195,9.73
124,"Canada","1975",15,2,2,1.08903235930955,9.7200561480195,9.73
124,"Canada","1975",15,2,3,0.977940025861281,9.7200561480195,9.73
124,"Canada","1975",20,1,2,1.20641457483865,11.8187736398394,11.49
124,"Canada","1975",20,1,3,0.990407322940909,11.8187736398394,11.49
124,"Canada","1975",20,1,4,0.992936042988634,11.8187736398394,11.49
124,"Canada","1975",20,1,1,1.39906175272624,11.8187736398394,11.49
124,"Canada","1975",20,2,1,1.35728252914163,11.4049473306507,11.54
124,"Canada","1975",20,2,3,0.959638489610411,11.4049473306507,11.54
124,"Canada","1975",20,2,2,1.11854278334849,11.4049473306507,11.54
124,"Canada","1975",20,2,4,0.979130747816877,11.4049473306507,11.54
124,"Canada","1975",25,1,3,1.03265943368356,12.5342456012636,12.35
124,"Canada","1975",25,1,4,0.96996889901204,12.5342456012636,12.35
124,"Canada","1975",25,1,2,1.15482738074314,12.5342456012636,12.35
124,"Canada","1975",25,1,1,1.15563041834844,12.5342456012636,12.35
124,"Canada","1975",25,2,1,1.11587074993122,12.1916022054469,12.21
124,"Canada","1975",25,2,2,1.11044948850248,12.1916022054469,12.21
124,"Canada","1975",25,2,4,0.965199263687075,12.1916022054469,12.21
124,"Canada","1975",25,2,3,1.00335873935832,12.1916022054469,12.21
124,"Canada","1975",30,1,2,1.12042130266458,12.7438140039768,12.63
124,"Canada","1975",30,1,1,1.1672448743779,12.7438140039768,12.63
124,"Canada","1975",30,1,3,1.05271408952002,12.7438140039768,12.63
124,"Canada","1975",30,1,4,0.977554968742418,12.7438140039768,12.63
124,"Canada","1975",30,2,3,1.00732506564632,12.0828830121943,12.19
124,"Canada","1975",30,2,2,1.06292223805277,12.0828830121943,12.19
124,"Canada","1975",30,2,1,1.08290555951289,12.0828830121943,12.19
124,"Canada","1975",30,2,4,0.971221341529563,12.0828830121943,12.19
124,"Canada","1975",35,1,2,1.1028844587428,11.8056286428055,11.94
124,"Canada","1975",35,1,1,1.06358398132498,11.8056286428055,11.94
124,"Canada","1975",35,1,4,0.964959954124448,11.8056286428055,11.94
124,"Canada","1975",35,1,3,1.04203574204783,11.8056286428055,11.94
124,"Canada","1975",35,2,1,1.04909699973869,11.5017500536652,11.48
124,"Canada","1975",35,2,2,1.06097345617981,11.5017500536652,11.48
124,"Canada","1975",35,2,4,0.9746818413625,11.5017500536652,11.48
124,"Canada","1975",35,2,3,1.00387233893662,11.5017500536652,11.48
