"year","iso","country","OECD_average","literate_prop1","literate_prop2","adj_factor1","adj_factor2"
2005,404,"Kenya",98.89134,83.71359679,77.31542713,0.846521008,0.781822019
2010,404,"Kenya",98.89134,88.2179848,76.7179848,0.89206987,0.775780617
2015,404,"Kenya",98.89134,88.894794135,80.86832291,0.8989138395,0.817749288
2005,426,"Lesotho",98.89134,86.06339027,79.43789881,0.870282375,0.803284684
2010,426,"Lesotho",98.89134,88.83633952,79.17082228,0.89832274,0.800583977
2015,426,"Lesotho",98.89134,90.80582312,82.37591944,0.918238373,0.832994269
2005,430,"Liberia",98.89134,55.57505881,44.27403947,0.561981047,0.447703909
2010,430,"Liberia",98.89134,39.6,31.4,0.400439513,0.31752022
2015,430,"Liberia",98.89134,56.23224726,44.23273447,0.568626608,0.4472862285
2005,450,"Madagascar",98.89134,72.79374117,61.1,0.736098238,0.617849854
2010,450,"Madagascar",98.89134,72.7472148,61.1715185,0.735627759,0.618573057
2015,450,"Madagascar",98.89134,70.65,55.35,0.714420494,0.559705228
2000,454,"Malawi",98.89134,67.86019717,60.45845143,0.686209704,0.611362445
2005,454,"Malawi",98.89134,71.07804439,64.18355601,0.718748926,0.649031108
2010,454,"Malawi",98.89134,71.193747455,61.793747455,0.719918928,0.624865104
2015,454,"Malawi",98.89134,73.1285708566667,62.9300701533333,0.739484072666667,0.636355723333333
2015,462,"Maldives",98.89134,97.3568946,90.45443899,0.984483521,0.914685138
2000,466,"Mali",98.89134,24.12903027,17.98317936,0.243995382,0.181847868
2005,466,"Mali",98.89134,28.12890239,19.30176854,0.284442524,0.195181586
2010,466,"Mali",98.89134,29.4779717,22.95018356,0.29808446,0.232074756
2015,466,"Mali",98.89134,31.073696595,22.07402415,0.3142206045,0.223214936
2005,498,"Moldova",98.89134,99.65060035,99.55060035,1.007677723,1.006666512
2005,504,"Morocco",98.89134,50.6,45.7,0.511672711,0.462123377
2005,508,"Mozambique",98.89134,53.16833045,46.16117404,0.537643948,0.466786819
2010,508,"Mozambique",98.89134,54.42321562,45.53019602,0.550333483,0.460406301
2015,508,"Mozambique",98.89134,50.5,37.8,0.5106615,0.382237717
2015,104,"Myanmar",98.89134,87.9121767,79.87181793,0.888977505,0.807672521
2000,516,"Namibia",98.89134,85.81618705,77.76528777,0.867782629,0.786371059
2005,516,"Namibia",98.89134,89.77884899,81.18278406,0.907853498,0.820929154
2015,516,"Namibia",98.89134,91.98496748,85.53561003,0.930162009,0.864945404
2000,524,"Nepal",98.89134,53.37803235,46.03591644,0.539764476,0.465520201
2005,524,"Nepal",98.89134,67.2928984,59.2135749,0.680473117,0.598774118
2010,524,"Nepal",98.89134,76.15377266,69.31117099,0.770075243,0.700882109
2015,524,"Nepal",98.89134,78.47783316,69.71850066,0.793576396,0.705001071
2000,558,"Nicaragua",98.89134,84.8,81.6,0.857506835,0.825148087
2005,562,"Niger",98.89134,20.4729423,13.95753023,0.207024622,0.141140066
2010,562,"Niger",98.89134,27.59439109,19.14128255,0.279037488,0.193558734
2005,566,"Nigeria",98.89134,61.83227998,54.29934476,0.625254749,0.549080888
2010,566,"Nigeria",98.89134,57.738382795,50.09718525,0.5838568145,0.506588193
2015,566,"Nigeria",98.89134,60.15829196,48.0136907533333,0.6083272,0.48551967
2005,586,"Pakistan",98.89134,36,30.1,0.364035921,0.304374478
2010,586,"Pakistan",98.89134,55.14966927,49.77426045,0.557679462,0.503322742
2015,586,"Pakistan",98.89134,60.42281012,52.05687651,0.611002036,0.526404805
2015,598,"Papua New Guinea",98.89134,73.31143197,55.13871192,0.741333184,0.55756866
2000,604,"Peru",98.89134,91,86.4,0.920201911,0.87368621
2005,604,"Peru",98.89134,92.95,89.1,0.939920523,0.9009889035
2010,604,"Peru",98.89134,94.2,91.2333333333333,0.952560659,0.922561403
2015,604,"Peru",98.89134,94.6,91.5,0.956605503,0.925257965
2000,608,"Philippines",98.89134,95.64532672,89.97715285,0.96717596,0.909858769
2010,608,"Philippines",98.89134,97,92.7,0.980874564,0.937392496
2000,646,"Rwanda",98.89134,71.18442402,62.97858002,0.719824648,0.63684626
2005,646,"Rwanda",98.89134,74.06348454,63.14574588,0.748938022,0.638536659
2010,646,"Rwanda",98.89134,79.25657582,70.89797037,0.801451126,0.716927998
2015,646,"Rwanda",98.89134,81.7657527566667,72.65134001,0.826824196666667,0.734658262333333
2010,678,"Sao Tome and Principe",98.89134,89.41615667,74.2744186,0.904185914,0.75107101
2005,686,"Senegal",98.89134,38.140114175,30.59951922,0.385676988,0.3094256705
2010,686,"Senegal",98.89134,41.5160993866667,32.0102262566667,0.419815318333333,0.323690893666667
2015,686,"Senegal",98.89134,51.3218194,43.7560907425,0.518971827,0.44246635475
2010,694,"Sierra Leone",98.89134,35.46319524,30.67047209,0.358607692,0.310143154
2015,694,"Sierra Leone",98.89134,42.18800681,37.666039085,0.426609719,0.380883089
2015,710,"South Africa",98.89134,95.59707398,85.08745993,0.966688023,0.860413661
2005,748,"Swaziland",98.89134,90.47645294,83.25913011,0.914907746,0.841925391
2015,762,"Tajikistan",98.89134,94.5,79.9,0.955594292,0.807957502
2005,834,"Tanzania",98.89134,73.62115657,68.96911255,0.744465153,0.697423177
2010,834,"Tanzania",98.89134,77.09684315,71.25274947,0.779611674,0.720515563
2015,834,"Tanzania",98.89134,77.774425205,71.684015755,0.7864634575,0.7248765745
2010,626,"Timor-Leste",98.89134,73.39179381,64.03919588,0.742145812,0.647571323
2015,626,"Timor-Leste",98.89134,78.16225543,63.85158307,0.790385239,0.645674162
2015,768,"Togo",98.89134,59.149405975,49.69933486,0.598125235,0.5025650865
2000,800,"Uganda",98.89134,69.23884067,55.8553271,0.700150697,0.564815151
2005,800,"Uganda",98.89134,69.41603523,57.24030055,0.701942508,0.578820153
2010,800,"Uganda",98.89134,70.82108793,55.4782616,0.716150554,0.561002223
2015,800,"Uganda",98.89134,69.691901915,55.11947858,0.704732102,0.5573741705
2015,887,"Yemen",98.89134,52.9,40.7,0.534930561,0.411562832
2000,894,"Zambia",98.89134,70.80872251,60.01395771,0.716025514,0.606867676
2005,894,"Zambia",98.89134,72.63897522,62.08700456,0.734533228,0.627830552
2010,894,"Zambia",98.89134,75.10373964,65.49875715,0.759457195,0.662330566
2015,894,"Zambia",98.89134,74.06252696,57.16447361,0.748928339,0.578053383
2005,716,"Zimbabwe",98.89134,93.28107285,84.06935604,0.943268368,0.850118484
2010,716,"Zimbabwe",98.89134,94.83582943,88.38515465,0.958990235,0.89376031
2015,716,"Zimbabwe",98.89134,94.30308967,85.2556141,0.953603113,0.862114055
