"country","year","iso","cc","hlo_mean","edu_exp_","tp_","GEO","fit1","lwr1","upr1","hlo","year_1945","year_1950","year_1955","year_1960","year_1965","year_1970","year_1975","year_1980","year_1985","year_1990"
"Aruba",1970,533,"Aruba",NA,5.809939,31.97295,"Caribbean",375.831502257992,341.652992052268,410.010012463715,375.831502257992,0,0,0,0,0,1,0,0,0,0
"Aruba",1975,533,"Aruba",NA,6.181745,28.13298,"Caribbean",386.89351802355,353.211226114149,420.57580993295,386.89351802355,0,0,0,0,0,0,1,0,0,0
"Aruba",1980,533,"Aruba",NA,4.281818,24.72464,"Caribbean",390.423342756901,357.483039009607,423.363646504196,390.423342756901,0,0,0,0,0,0,0,1,0,0
"Aruba",1985,533,"Aruba",NA,3.532633,24.19762,"Caribbean",389.684834106899,356.513167347683,422.856500866114,389.684834106899,0,0,0,0,0,0,0,0,1,0
"Aruba",1990,533,"Aruba",NA,4.105412,21.63677,"Caribbean",397.978070827615,365.198496034924,430.757645620307,397.978070827615,0,0,0,0,0,0,0,0,0,1
"Australia",1970,36,"Australia",484,4.750015,23.6405,"Oceania",454.6917705567,433.679179597009,475.704361516391,454.6917705567,0,0,0,0,0,1,0,0,0,0
"Australia",1975,36,"Australia",505.47,5.95289,19.7114,"Oceania",468.329950890377,447.577747910133,489.08215387062,468.329950890377,0,0,0,0,0,0,1,0,0,0
"Australia",1980,36,"Australia",331.55,5.501924,17.16525,"Oceania",473.697738115126,453.125770004251,494.269706226002,473.697738115126,0,0,0,0,0,0,0,1,0,0
"Australia",1985,36,"Australia",475.87,5.084678,16.68713,"Oceania",473.767831630927,453.165250401185,494.370412860669,473.767831630927,0,0,0,0,0,0,0,0,1,0
"Australia",1990,36,"Australia",488.69,4.987026,16.58099,"Oceania",473.769218789966,453.142177961972,494.39625961796,473.769218789966,0,0,0,0,0,0,0,0,0,1
"Austria",1970,40,"Austria",NA,4.410214,21.2189,"Western Europe",482.893550628997,469.400755552763,496.38634570523,482.893550628997,0,0,0,0,0,1,0,0,0,0
"Austria",1975,40,"Austria",NA,5.103516,18.19366,"Western Europe",492.737667489329,479.651498327813,505.823836650845,492.737667489329,0,0,0,0,0,0,1,0,0,0
"Austria",1980,40,"Austria",NA,5.267604,14.08477,"Western Europe",503.915147990311,490.942981260208,516.887314720415,503.915147990311,0,0,0,0,0,0,0,1,0,0
"Austria",1985,40,"Austria",NA,5.276436,10.85298,"Western Europe",512.367574663733,499.13579507119,525.599354256276,512.367574663733,0,0,0,0,0,0,0,0,1,0
"Austria",1990,40,"Austria",NA,5.152362,11.16964,"Western Europe",511.191914785652,498.02834975311,524.355479818194,511.191914785652,0,0,0,0,0,0,0,0,0,1
"Azerbaijan",1970,31,"Azerbaijan",NA,3.685292,27.5038,"Western Asia",392.909071402339,378.140159684063,407.677983120615,392.909071402339,0,0,0,0,0,1,0,0,0,0
"Azerbaijan",1975,31,"Azerbaijan",NA,3.981776,23.22307,"Western Asia",404.9080348538,391.451452402899,418.364617304701,404.9080348538,0,0,0,0,0,0,1,0,0,0
"Azerbaijan",1980,31,"Azerbaijan",NA,4.347406,21.61777,"Western Asia",410.125298017974,396.964926619696,423.285669416251,410.125298017974,0,0,0,0,0,0,0,1,0,0
"Azerbaijan",1985,31,"Azerbaijan",NA,4.264387,22.12853,"Western Asia",408.55926608833,395.312922200013,421.805609976647,408.55926608833,0,0,0,0,0,0,0,0,1,0
