"iso","year","qamys_dhs_full","qamys_dhs_part"
120,2005,4.5428976456,3.9147871371
120,2010,5.24496516325,4.63218828895
120,2015,NA,NA
124,1970,NA,NA
124,1975,NA,NA
124,1980,NA,NA
124,1985,NA,NA
124,1990,NA,NA
124,1995,NA,NA
124,2000,NA,NA
124,2005,NA,NA
124,2010,NA,NA
124,2015,NA,NA
132,1970,NA,NA
132,1975,NA,NA
132,1980,NA,NA
132,1985,NA,NA
132,1990,NA,NA
132,1995,NA,NA
132,2000,NA,NA
132,2005,NA,NA
132,2010,NA,NA
132,2015,NA,NA
140,1970,NA,NA
140,1975,NA,NA
140,1980,NA,NA
140,1985,NA,NA
140,1990,NA,NA
140,1995,NA,NA
140,2000,NA,NA
140,2005,NA,NA
140,2010,NA,NA
140,2015,NA,NA
148,1970,NA,NA
148,1975,NA,NA
148,1980,NA,NA
148,1985,NA,NA
148,1990,NA,NA
148,1995,NA,NA
148,2000,NA,NA
148,2005,0.4890372464,0.39545900283
148,2010,NA,NA
148,2015,1.12930380853,0.88453434222
830,2015,NA,NA
152,1970,NA,NA
152,1975,NA,NA
152,1980,NA,NA
152,1985,NA,NA
152,1990,NA,NA
152,1995,NA,NA
152,2000,NA,NA
152,2005,NA,NA
152,2010,NA,NA
152,2015,NA,NA
156,1970,NA,NA
156,1975,NA,NA
156,1980,NA,NA
156,1985,NA,NA
156,1990,NA,NA
156,1995,NA,NA
156,2000,NA,NA
156,2005,NA,NA
156,2010,NA,NA
156,2015,NA,NA
170,1970,NA,NA
170,1975,NA,NA
170,1980,NA,NA
170,1985,NA,NA
170,1990,NA,NA
170,1995,NA,NA
170,2000,NA,NA
170,2005,NA,NA
170,2010,NA,NA
170,2015,NA,NA
174,1970,NA,NA
174,1975,NA,NA
174,1980,NA,NA
174,1985,NA,NA
174,1990,NA,NA
174,1995,NA,NA
174,2000,NA,NA
174,2005,NA,NA
174,2010,4.4085126598,3.6580724904
174,2015,NA,NA
178,1970,NA,NA
178,1975,NA,NA
178,1980,NA,NA
178,1985,NA,NA
178,1990,NA,NA
178,1995,NA,NA
178,2000,NA,NA
178,2005,6.5423077956,5.83125831292
178,2010,6.97323216282,6.4178297568
178,2015,NA,NA
188,1970,NA,NA
188,1975,NA,NA
188,1980,NA,NA
188,1985,NA,NA
188,1990,NA,NA
188,1995,NA,NA
188,2000,NA,NA
188,2005,NA,NA
188,2010,NA,NA
188,2015,NA,NA
384,1970,NA,NA
384,1975,NA,NA
384,1980,NA,NA
384,1985,NA,NA
384,1990,NA,NA
384,1995,NA,NA
384,2000,NA,NA
384,2005,NA,NA
384,2010,2.02055018336,1.83181305088
384,2015,NA,NA
191,1970,NA,NA
191,1975,NA,NA
191,1980,NA,NA
191,1985,NA,NA
191,1990,NA,NA
191,1995,NA,NA
191,2000,NA,NA
191,2005,NA,NA
191,2010,NA,NA
191,2015,NA,NA
192,1970,NA,NA
192,1975,NA,NA
192,1980,NA,NA
192,1985,NA,NA
192,1990,NA,NA
192,1995,NA,NA
192,2000,NA,NA
192,2005,NA,NA
192,2010,NA,NA
192,2015,NA,NA
531,1970,NA,NA
531,1975,NA,NA
531,1980,NA,NA
531,1985,NA,NA
531,1990,NA,NA
531,1995,NA,NA
531,2000,NA,NA
531,2005,NA,NA
531,2010,NA,NA
531,2015,NA,NA
196,1970,NA,NA
196,1975,NA,NA
196,1980,NA,NA
196,1985,NA,NA
196,1990,NA,NA
